startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,511.0,1878.25,203.1,358.91,702.91,1078.11,358.91
2018-02-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,565.0,1781.42,161.03,312.49,688.5,1083.18,312.49
2018-02-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,510.0,11161.14,152.95,311.82,734.37,1499.98,311.82
2018-02-07,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,473.0,2249.95,178.41,312.23,796.7,1359.39,312.23
2018-02-08,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,409.0,2187.41,186.14,296.9,609.37,1164.95,296.9
2018-02-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,337.0,2484.36,183.44,327.09,841.96,1437.49,327.09
2018-02-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,455.0,3456.15,218.75,358.49,765.62,1640.62,358.49
2018-02-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,345.0,8796.78,249.15,453.09,1177.38,2531.83,453.09
2018-02-14,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,373.0,2750.16,194.89,328.12,812.6,2421.1,328.12
2018-02-15,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,406.0,2312.49,168.23,359.41,812.51,1298.46,359.41
2018-02-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,313.0,3144.07,172.24,313.53,1234.47,1765.66,313.53
2018-02-19,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,250.0,3108.92,171.9,296.53,796.85,1077.67,296.53
2018-02-20,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,491.0,2328.19,216.13,343.82,812.56,1703.31,343.82
2018-02-21,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,397.0,2121.25,202.6,343.72,796.87,1140.64,343.72
2018-02-22,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,502.0,2375.72,174.52,342.05,859.4,1324.31,342.05
2018-02-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,374.0,6047.3,153.22,296.88,813.49,2000.0,296.88
2018-02-26,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,660.0,1452.97,185.99,314.36,707.39,1027.12,314.36
2018-02-27,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,614.0,1328.11,187.44,311.19,593.75,906.24,311.19
2018-02-28,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,492.0,2374.96,203.24,328.12,734.37,1125.04,328.12
2018-03-01,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,543.0,2525.14,232.76,375.0,812.53,1078.1,375.0
2018-03-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,399.0,2265.64,187.57,343.71,734.36,1593.72,343.71
2018-03-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,394.0,1906.24,218.45,358.63,843.73,1235.14,358.63
2018-03-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,491.0,3343.64,233.74,390.62,984.36,1812.3,390.62
2018-03-07,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,261.0,2453.08,218.75,390.56,906.23,1484.36,390.56
2018-03-08,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,323.0,1078.15,202.79,296.94,546.67,828.11,296.94
2018-03-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,196.0,4628.9,140.68,265.41,499.38,921.67,265.41
2018-03-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,526.0,1046.87,152.21,281.2,484.4,734.37,281.2
2018-03-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,511.0,18953.68,142.04,296.88,578.13,1056.79,296.88
2018-03-14,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,438.0,1465.1,203.07,312.35,641.22,1013.06,312.35
2018-03-15,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,451.0,2312.44,187.48,296.87,624.65,1199.44,296.87
2018-03-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,360.0,1218.73,202.22,312.5,687.37,1109.09,312.5
2018-03-19,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,320.0,1139.73,138.97,268.93,468.75,703.12,268.93
2018-03-20,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,298.0,1046.87,152.27,250.01,484.41,671.88,250.01
2018-03-21,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,332.0,3124.49,140.35,234.35,406.26,906.26,234.35
2018-03-22,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,319.0,3814.41,141.81,250.04,544.34,1078.17,250.04
2018-03-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,364.0,1281.27,156.25,297.85,656.25,1109.37,297.85
2018-03-26,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,496.0,1765.59,156.44,281.23,562.5,781.24,281.23
2018-03-27,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,535.0,1144.82,168.2,311.65,624.99,937.49,311.65
2018-03-28,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,509.0,3225.8,203.25,312.26,703.12,1015.64,312.26
2018-03-29,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,544.0,1327.56,203.13,328.06,656.64,1015.61,328.06
2018-03-30,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,256.0,2187.56,234.05,343.75,734.38,999.62,343.75
2018-04-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,260.0,3115.22,200.55,296.85,562.5,1609.36,296.85
2018-04-03,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,600.0,1187.49,218.61,295.61,562.06,968.75,295.61
2018-04-04,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,625.0,6125.3,181.72,265.49,593.29,890.64,265.49
2018-04-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,515.0,1242.54,218.61,328.13,562.5,877.66,328.13
2018-04-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,343.0,4021.94,188.75,281.25,484.37,796.58,281.25
2018-04-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,499.0,1440.46,184.97,273.36,562.51,921.87,273.36
2018-04-10,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,530.0,1703.09,202.71,279.45,624.34,951.64,279.45
2018-04-11,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,488.0,1124.98,203.01,296.61,515.1,812.49,296.61
2018-04-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,477.0,1140.61,172.9,289.02,545.63,921.85,289.02
2018-04-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,411.0,843.75,203.13,296.9,515.61,749.96,296.9
2018-04-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,543.0,2546.84,188.82,281.25,516.41,1156.17,281.25
2018-04-17,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,567.0,1109.85,156.23,265.63,531.71,907.81,265.63
2018-04-18,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,509.0,1268.97,170.55,281.26,609.37,907.36,281.26
2018-04-19,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,555.0,2345.03,202.14,296.88,578.33,1015.62,296.88
2018-04-20,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,440.0,1171.93,203.12,281.26,515.63,1046.86,281.26
2018-04-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,515.0,8937.52,203.24,296.88,515.66,734.37,296.88
2018-04-24,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,552.0,1749.97,205.73,281.25,531.25,968.98,281.25
2018-04-25,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,472.0,3060.23,203.14,296.86,703.12,1187.86,296.86
2018-04-26,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,382.0,33138.57,234.39,336.11,825.28,1186.93,336.11
2018-04-27,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,390.0,1406.2,249.39,359.37,781.1,1124.98,359.37
