startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,45.0,1218.8,438.28,546.87,687.05,1218.8,546.87
2018-02-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,19.0,2375.99,120.46,198.46,2375.99,2375.99,198.46
2018-02-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,11.0,640.61,362.12,409.14,640.61,640.61,409.14
2018-02-07,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,4.0,484.23,343.76,483.59,484.23,484.23,483.59
2018-02-08,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,12.0,2076.97,234.34,472.12,2076.97,2076.97,472.12
2018-02-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,20.0,736.53,296.89,392.19,625.0,736.53,392.19
2018-02-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,22.0,597.05,223.32,339.18,467.66,597.05,339.18
2018-02-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,21.0,1234.37,218.76,609.27,1140.62,1234.37,609.27
2018-02-14,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,22.0,1468.73,109.29,418.07,1140.82,1468.73,418.07
2018-02-15,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,20.0,1171.52,108.44,157.47,843.75,1171.52,157.47
2018-02-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,7.0,281.3,90.54,280.87,281.3,281.3,280.87
2018-02-19,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,5.0,359.4,308.64,329.98,359.4,359.4,329.98
2018-02-20,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,19.0,1203.09,342.54,390.67,1203.09,1203.09,390.67
2018-02-21,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,23.0,1067.64,234.4,343.71,734.08,1067.64,343.71
2018-02-22,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,10.0,904.76,139.72,249.57,904.76,904.76,249.57
2018-02-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,26.0,359.25,92.31,139.65,280.81,359.25,139.65
2018-02-26,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,23.0,512.93,218.75,402.85,482.07,512.93,402.85
2018-02-27,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,6.0,421.88,376.43,421.88,421.88,421.88,421.88
