startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignMiddleTier,All,All,4356.0,4357.52,457.13,842.2,1880.54,2673.96,842.2
2018-02-05,CampaignMiddleTier,All,All,4229.0,12859.42,357.35,727.27,1525.14,2499.89,727.27
2018-02-06,CampaignMiddleTier,All,All,3445.0,11161.14,390.83,777.15,1702.97,2687.53,777.15
2018-02-07,CampaignMiddleTier,All,All,4016.0,5906.19,400.37,834.04,1908.98,2843.78,834.04
2018-02-08,CampaignMiddleTier,All,All,3438.0,26824.21,389.56,856.8,1876.06,2804.85,856.8
2018-02-09,CampaignMiddleTier,All,All,2695.0,3750.0,390.86,793.96,1576.22,2405.25,793.96
2018-02-12,CampaignMiddleTier,All,All,3369.0,16284.64,365.8,760.28,1758.83,2500.1,760.28
2018-02-13,CampaignMiddleTier,All,All,2516.0,14843.37,453.08,953.0,1960.72,2687.5,953.0
2018-02-14,CampaignMiddleTier,All,All,3118.0,21485.05,406.07,829.22,1999.81,2828.0,829.22
2018-02-15,CampaignMiddleTier,All,All,3099.0,15963.61,446.2,873.45,2003.66,2875.1,873.45
2018-02-16,CampaignMiddleTier,All,All,2504.0,7451.54,421.07,833.55,1765.51,2625.26,833.55
2018-02-19,CampaignMiddleTier,All,All,1659.0,15762.39,422.99,797.76,1953.14,3658.86,797.76
2018-02-20,CampaignMiddleTier,All,All,3698.0,8733.55,411.15,890.14,2015.39,2640.52,890.14
2018-02-21,CampaignMiddleTier,All,All,3283.0,10937.63,433.11,903.95,1985.84,3017.63,903.95
2018-02-22,CampaignMiddleTier,All,All,4063.0,4878.03,439.3,887.29,1970.15,2552.92,887.29
2018-02-23,CampaignMiddleTier,All,All,2842.0,15959.18,389.68,789.22,1898.02,2718.75,789.22
2018-02-26,CampaignMiddleTier,All,All,4834.0,21395.22,343.45,714.05,1421.68,2453.03,714.05
2018-02-27,CampaignMiddleTier,All,All,4965.0,6656.29,389.46,773.49,1654.85,2468.74,773.49
2018-02-28,CampaignMiddleTier,All,All,3829.0,28599.35,376.56,824.51,1822.93,2672.35,824.51
2018-03-01,CampaignMiddleTier,All,All,3912.0,9813.57,422.02,833.21,1642.5,2281.23,833.21
2018-03-02,CampaignMiddleTier,All,All,3039.0,13464.33,455.83,906.52,2020.07,3624.91,906.52
2018-03-05,CampaignMiddleTier,All,All,3189.0,6701.07,437.13,870.26,2002.62,2703.07,870.26
2018-03-06,CampaignMiddleTier,All,All,3905.0,26109.91,452.56,854.77,1955.86,3390.54,854.77
2018-03-07,CampaignMiddleTier,All,All,2546.0,6187.7,466.48,883.46,1877.25,2594.32,883.46
2018-03-08,CampaignMiddleTier,All,All,3294.0,5637.61,400.71,750.36,1307.06,2530.37,750.36
2018-03-09,CampaignMiddleTier,All,All,2204.0,6989.41,366.7,703.37,1141.09,2015.6,703.37
2018-03-12,CampaignMiddleTier,All,All,4136.0,20124.0,323.56,639.68,1109.04,2018.43,639.68
2018-03-13,CampaignMiddleTier,All,All,3926.0,18953.68,343.65,679.73,1123.38,2391.3,679.73
2018-03-14,CampaignMiddleTier,All,All,4303.0,27264.25,360.52,716.65,1124.45,1844.98,716.65
2018-03-15,CampaignMiddleTier,All,All,3532.0,3622.04,361.62,701.15,1095.71,1452.8,701.15
2018-03-16,CampaignMiddleTier,All,All,3060.0,6300.04,392.93,749.69,1156.23,2437.37,749.69
2018-03-19,CampaignMiddleTier,All,All,2333.0,10175.95,325.24,607.34,1031.77,1841.8,607.34
2018-03-20,CampaignMiddleTier,All,All,2346.0,11057.34,368.77,718.17,1119.06,1718.74,718.17
2018-03-21,CampaignMiddleTier,All,All,2808.0,24449.66,358.84,654.88,1085.4,2099.43,654.88
2018-03-22,CampaignMiddleTier,All,All,2677.0,17206.19,359.99,687.21,1109.18,1546.89,687.21
2018-03-23,CampaignMiddleTier,All,All,3419.0,13275.47,375.67,705.76,1119.78,1735.72,705.76
2018-03-26,CampaignMiddleTier,All,All,4005.0,6666.43,346.16,675.45,1109.24,1734.4,675.45
2018-03-27,CampaignMiddleTier,All,All,4954.0,4527.7,405.43,719.04,1093.4,1499.98,719.04
2018-03-28,CampaignMiddleTier,All,All,4104.0,6145.23,406.06,758.36,1114.11,1580.25,758.36
2018-03-29,CampaignMiddleTier,All,All,4146.0,10744.18,374.14,706.18,1078.12,1656.22,706.18
2018-03-30,CampaignMiddleTier,All,All,2370.0,15312.57,426.52,764.84,1139.63,2203.1,764.84
2018-04-02,CampaignMiddleTier,All,All,2690.0,18809.65,351.4,735.95,1119.7,3081.03,735.95
2018-04-03,CampaignMiddleTier,All,All,4037.0,10619.65,313.07,640.78,1062.95,1953.14,640.78
2018-04-04,CampaignMiddleTier,All,All,4373.0,33077.56,344.1,689.43,1078.1,1673.43,689.43
2018-04-05,CampaignMiddleTier,All,All,4035.0,4004.84,358.23,682.1,1093.77,1640.55,682.1
2018-04-06,CampaignMiddleTier,All,All,2685.0,5462.57,353.87,704.22,1078.32,1578.05,704.22
2018-04-09,CampaignMiddleTier,All,All,4624.0,4140.62,341.46,661.43,1078.79,1859.39,661.43
2018-04-10,CampaignMiddleTier,All,All,4535.0,8702.92,385.44,750.22,1145.1,2156.25,750.22
2018-04-11,CampaignMiddleTier,All,All,4003.0,7814.84,359.77,721.21,1131.06,2046.86,721.21
2018-04-12,CampaignMiddleTier,All,All,3423.0,9718.14,388.14,765.58,1222.41,2546.89,765.58
2018-04-13,CampaignMiddleTier,All,All,3307.0,6782.26,374.5,735.25,1163.33,2362.87,735.25
2018-04-16,CampaignMiddleTier,All,All,3729.0,5035.78,327.79,672.47,1097.37,2265.92,672.47
2018-04-17,CampaignMiddleTier,All,All,3592.0,4483.13,328.9,656.6,1078.12,1484.34,656.6
2018-04-18,CampaignMiddleTier,All,All,3916.0,5077.02,359.88,748.82,1156.26,1875.03,748.82
2018-04-19,CampaignMiddleTier,All,All,4863.0,3473.31,376.06,734.18,1094.38,1605.94,734.18
2018-04-20,CampaignMiddleTier,All,All,2792.0,2734.55,329.86,651.35,1096.42,1561.86,651.35
2018-04-23,CampaignMiddleTier,All,All,3523.0,20938.69,327.55,657.38,1089.73,1749.52,657.38
2018-04-24,CampaignMiddleTier,All,All,3307.0,7958.68,359.76,705.53,1201.22,2109.34,705.53
2018-04-25,CampaignMiddleTier,All,All,3561.0,54368.64,343.18,671.48,1155.76,1734.34,671.48
2018-04-26,CampaignMiddleTier,All,All,2690.0,60043.89,500.86,793.55,1249.87,2343.71,793.55
2018-04-27,CampaignMiddleTier,All,All,2785.0,8235.27,496.29,890.8,1234.24,1640.73,890.8
2018-04-30,CampaignMiddleTier,All,All,3193.0,4234.28,343.78,688.24,1141.03,1546.93,688.24
2018-05-01,CampaignMiddleTier,All,All,3015.0,4124.87,358.87,732.59,1156.97,1594.71,732.59
2018-05-02,CampaignMiddleTier,All,All,4201.0,3031.08,329.92,663.25,1124.96,1823.56,663.25
2018-05-03,CampaignMiddleTier,All,All,3342.0,4437.51,390.17,789.34,1203.07,1890.61,789.34
