startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,17.0,296.39,92.97,109.48,296.39,296.39,109.48
2018-02-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,21.0,1093.73,61.61,67.3,421.88,1093.73,67.3
2018-02-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,28.0,483.87,78.13,138.58,345.36,483.87,138.58
2018-02-07,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,20.0,265.29,64.54,98.2,218.7,265.29,98.2
2018-02-08,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,26.0,109.37,62.52,93.72,105.13,109.37,93.72
2018-02-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,11.0,218.59,63.06,109.41,218.59,218.59,109.41
2018-02-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,19.0,412.2,65.07,156.25,412.2,412.2,156.25
2018-02-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,13.0,496.11,81.44,156.26,496.11,496.11,156.26
2018-02-14,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,17.0,1281.19,62.46,140.26,1281.19,1281.19,140.26
2018-02-15,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,6.0,765.62,91.36,358.69,765.62,765.62,358.69
2018-02-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAdvertiser,13.0,218.64,47.41,187.56,218.64,218.64,187.56
