startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,15969.0,20941.5,62.53,140.63,187.48,437.49,140.63
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,17606.0,18386.71,62.65,140.63,187.5,451.52,140.63
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,19154.0,19275.17,77.41,140.63,203.13,451.74,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,20379.0,14621.18,81.21,140.63,203.11,453.19,140.63
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,17710.0,36255.52,124.33,156.21,234.37,485.84,156.21
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,14220.0,6653.62,93.5,140.64,203.12,453.17,140.64
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,18593.0,14686.55,124.84,140.63,186.04,437.61,140.63
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,12229.0,1253.85,125.0,156.24,350.1,502.7,156.24
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,16927.0,9085.45,109.63,156.24,212.51,484.32,156.24
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,15455.0,5258.07,124.75,140.64,189.83,453.02,140.64
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,14299.0,19275.97,62.42,140.63,187.58,453.12,140.63
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,16163.0,3606.71,125.01,140.63,174.19,440.34,140.63
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,20870.0,19382.78,132.09,140.64,187.49,453.1,140.64
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,19682.0,21222.41,114.95,140.63,187.57,453.13,140.63
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountDetails,23851.0,6638.28,125.0,140.63,171.92,437.54,140.63
