startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,11.0,125.01,31.26,46.85,125.01,125.01,46.85
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,19.0,31.37,31.22,31.27,31.37,31.37,31.27
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,54.0,171.88,31.23,31.27,130.64,171.88,31.27
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,16.0,31.31,31.24,31.26,31.31,31.31,31.26
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,62.0,281.26,31.24,31.27,45.34,281.26,31.27
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,16.0,125.01,31.25,31.28,125.01,125.01,31.28
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,19.0,250.01,31.23,31.25,250.01,250.01,31.25
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,69.0,638.82,31.25,31.28,78.13,638.82,31.28
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,38.0,436.9,31.26,34.1,328.09,436.9,34.1
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,41.0,187.53,31.25,31.27,49.54,187.53,31.27
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,6.0,31.29,15.65,31.06,31.29,31.29,31.06
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,30.0,62.53,31.23,31.26,45.6,62.53,31.26
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,80.0,78.14,31.24,31.26,46.87,78.14,31.26
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,83.0,173.93,31.25,31.27,93.77,173.93,31.27
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,26.0,73.26,31.25,31.27,62.53,73.26,31.27
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,34.0,93.76,31.23,31.27,93.76,93.76,31.27
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,13.0,31.28,31.25,31.27,31.28,31.28,31.27
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,74.0,234.39,31.24,31.27,62.5,234.39,31.27
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,34.0,93.74,31.25,31.26,31.29,93.74,31.26
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,175.0,437.48,31.25,31.27,78.12,187.52,31.27
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,99.0,2143.49,31.26,31.29,93.8,2143.49,31.29
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,36.0,250.01,31.25,31.26,78.15,250.01,31.26
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,76.0,203.15,31.24,31.27,81.57,203.15,31.27
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,31.0,156.24,31.26,31.38,93.93,156.24,31.38
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,41.0,187.5,31.26,31.27,78.17,187.5,31.27
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,27.0,424.99,31.26,31.28,31.67,424.99,31.28
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,148.0,1921.83,31.24,75.69,140.66,437.49,75.69
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,170.0,187.5,15.67,46.88,140.63,156.9,46.88
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,379.0,453.12,15.66,31.25,125.01,265.66,31.25
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,139.0,2065.18,15.66,62.49,140.63,453.18,62.49
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,158.0,125.67,15.65,31.24,124.99,125.04,31.24
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,178.0,437.49,15.65,31.27,125.05,187.52,31.27
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,182.0,654.77,15.65,31.26,129.36,437.5,31.26
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,82.0,249.99,15.64,31.28,140.57,249.99,31.28
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,102.0,170.26,31.25,125.0,140.62,140.77,125.0
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,219.0,438.71,15.66,31.26,140.62,234.37,31.26
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,168.0,440.42,15.64,31.25,140.61,239.27,31.25
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,189.0,437.49,15.65,31.25,140.53,156.26,31.25
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,293.0,421.84,28.18,47.57,140.62,218.74,47.57
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,123.0,253.71,18.99,125.0,140.63,249.97,125.0
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,62.0,421.88,15.65,31.3,140.67,421.88,31.3
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,151.0,453.11,15.67,78.11,187.5,437.51,78.11
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,537.0,438.05,15.65,31.25,125.0,140.65,31.25
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,442.0,437.49,15.65,31.24,125.0,140.62,31.24
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,241.0,250.01,15.65,31.26,125.04,140.66,31.26
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,104.0,140.67,15.65,124.97,125.03,140.63,124.97
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,283.0,2234.05,15.64,31.26,125.03,531.26,31.26
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,202.0,158.11,15.64,31.24,140.62,156.24,31.24
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,327.0,442.74,15.64,31.24,125.22,156.27,31.24
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,115.0,203.13,29.77,125.0,140.62,172.34,125.0
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,230.0,312.5,15.64,31.25,125.04,171.88,31.25
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,209.0,1031.3,15.65,31.27,125.03,140.63,31.27
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,258.0,3340.07,15.63,19.66,140.23,375.02,19.66
