startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,123.0,1624.88,31.25,31.28,46.9,171.86,31.28
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,278.0,1093.79,31.25,31.28,78.16,234.38,31.28
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,391.0,407.68,31.25,31.27,62.51,203.13,31.27
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,329.0,324.61,31.25,31.27,76.38,109.36,31.27
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,336.0,609.49,31.25,31.27,62.55,109.4,31.27
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,116.0,125.01,31.25,31.27,62.5,125.0,31.27
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,228.0,333.07,31.25,31.27,62.53,249.99,31.27
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,329.0,374.33,31.25,31.28,73.95,187.52,31.28
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,252.0,5234.58,31.25,31.27,78.12,250.0,31.27
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,285.0,798.24,31.25,31.27,78.11,171.92,31.27
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,143.0,312.28,31.25,31.27,78.14,250.0,31.27
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,359.0,448.55,31.25,31.28,78.13,125.06,31.28
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,606.0,283.04,31.25,31.27,65.93,109.41,31.27
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,455.0,203.14,31.25,31.28,62.52,126.8,31.28
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,195.0,124.3,31.24,31.27,62.55,93.78,31.27
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,316.0,238.49,31.25,31.27,78.15,187.52,31.27
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,1324.0,3031.93,31.25,31.27,49.52,156.76,31.27
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,1165.0,3690.56,31.25,31.27,62.49,153.76,31.27
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,443.0,487.56,31.25,31.28,62.5,93.78,31.28
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountsPerformance,861.0,331.86,31.25,31.27,78.13,171.91,31.27
