startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,125.0,453.1,15.68,124.99,140.62,234.33,124.99
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,84.0,765.42,19.25,109.37,187.5,765.42,109.37
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,98.0,327.05,15.75,125.0,140.63,327.05,125.0
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,113.0,575.39,15.67,123.71,140.6,453.31,123.71
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,120.0,468.76,46.88,125.01,156.28,437.5,125.01
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,92.0,437.5,46.84,125.01,171.87,437.5,125.01
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,82.0,343.74,78.12,125.01,156.25,343.74,125.01
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,56.0,140.64,15.64,31.87,140.63,140.64,31.87
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,103.0,437.52,19.28,124.99,140.61,140.66,124.99
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,84.0,874.98,31.24,125.0,171.88,874.98,125.0
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,81.0,437.55,15.64,125.0,156.27,437.55,125.0
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,63.0,187.55,15.66,124.96,140.62,187.55,124.96
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,85.0,187.46,15.93,124.99,140.63,187.46,124.99
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,103.0,500.08,31.22,125.0,140.69,440.09,125.0
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,113.0,671.85,15.84,125.0,156.26,437.5,125.0
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,70.0,437.48,17.06,124.99,140.67,437.48,124.99
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,90.0,374.99,15.67,124.99,140.89,374.99,124.99
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,111.0,4578.25,16.97,124.99,188.08,437.54,124.99
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,116.0,437.5,19.97,125.0,234.33,437.49,125.0
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,147.0,500.0,31.25,125.01,187.5,453.12,125.01
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,98.0,437.48,16.71,125.0,156.25,437.48,125.0
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,76.0,453.11,31.27,125.0,171.88,453.11,125.0
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,112.0,5093.82,17.84,125.0,171.87,501.68,125.0
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,97.0,453.27,19.28,125.0,171.88,453.27,125.0
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,147.0,515.61,31.25,125.01,375.0,438.14,125.01
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,98.0,687.49,31.24,125.0,325.7,687.49,125.0
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,115.0,443.0,15.65,125.0,140.64,421.88,125.0
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,122.0,468.74,31.22,125.0,156.24,421.86,125.0
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,93.0,828.26,19.45,125.0,171.87,828.26,125.0
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,104.0,453.13,23.68,125.0,140.63,437.53,125.0
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,96.0,187.5,31.31,125.0,140.63,187.5,125.0
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,70.0,438.79,31.27,125.0,406.29,438.79,125.0
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,85.0,765.81,16.38,125.0,171.84,765.81,125.0
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,96.0,437.48,28.91,125.0,233.41,437.48,125.0
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,111.0,437.55,124.6,125.04,187.5,437.5,125.04
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,87.0,437.5,18.87,124.99,171.87,437.5,124.99
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,73.0,406.28,20.61,125.0,140.63,406.28,125.0
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,76.0,374.99,19.18,125.0,140.63,374.99,125.0
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,82.0,921.86,78.1,125.01,218.74,921.86,125.01
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,71.0,421.86,15.93,125.0,140.62,421.86,125.0
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,45.0,296.86,20.26,125.0,125.04,296.86,125.0
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,46.0,7718.63,124.95,140.47,1468.71,7718.63,140.47
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,63.0,593.63,109.37,125.0,187.5,593.63,125.0
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveAccountOpportunityBlockRulesCountV2,67.0,422.49,15.89,124.99,140.63,422.49,124.99
