startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,420.0,562.59,62.51,140.62,203.11,328.13,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,504.0,628.4,78.12,140.66,218.76,453.56,140.66
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,548.0,453.19,62.58,140.63,203.12,312.51,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,439.0,1078.08,63.04,140.65,215.67,437.52,140.65
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,428.0,5725.76,93.77,171.93,249.98,487.37,171.93
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,295.0,500.1,46.91,140.63,249.42,359.38,140.63
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,365.0,630.03,90.66,140.64,203.13,468.75,140.64
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,258.0,753.99,156.25,187.5,312.5,531.24,187.5
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,278.0,609.36,125.0,187.49,296.87,484.36,187.49
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ActiveCustomerOpportunityBlockRulesCountV2,267.0,702.81,109.35,155.62,267.05,484.44,155.62
