startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,176.0,624.97,78.15,140.64,364.11,593.91,140.64
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,208.0,484.38,93.75,140.66,235.01,390.51,140.66
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,235.0,500.0,59.27,124.99,171.92,296.84,124.99
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,242.0,458.75,62.52,140.62,218.75,453.05,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,184.0,624.92,110.04,160.45,250.01,530.63,160.45
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,126.0,515.6,62.5,140.64,281.3,458.32,140.64
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,217.0,406.23,46.86,140.59,187.52,359.34,140.59
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,151.0,1328.11,156.29,205.37,484.21,874.97,205.37
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,217.0,609.29,124.09,187.51,281.26,518.86,187.51
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,199.0,517.62,47.59,140.62,218.74,437.46,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,141.0,484.39,62.54,140.68,250.03,453.13,140.68
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,106.0,546.88,31.27,46.98,156.24,250.06,46.98
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,209.0,687.53,46.79,140.59,187.51,453.16,140.59
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,235.0,656.24,109.14,141.12,187.5,376.69,141.12
