startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3497.0,7617.74,62.53,140.72,234.39,455.85,140.72
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,4455.0,7203.18,107.84,140.65,242.72,468.77,140.65
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3800.0,6129.05,52.71,140.63,248.96,453.11,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,4380.0,4861.91,51.56,140.63,218.75,453.17,140.63
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3621.0,300004.35,79.17,171.88,265.65,500.01,171.88
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3178.0,7265.59,62.5,140.66,238.55,484.39,140.66
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3765.0,2343.7,47.12,140.63,234.36,453.11,140.63
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2705.0,18537.21,124.42,187.01,265.66,485.96,187.01
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3397.0,5726.63,107.38,172.32,265.63,486.23,172.32
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3071.0,2749.89,46.99,140.62,219.63,453.17,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2947.0,11373.26,46.88,140.64,218.75,453.13,140.64
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2650.0,1093.71,31.28,93.86,171.89,437.56,93.86
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,4003.0,935.54,46.91,140.63,218.77,455.02,140.63
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3793.0,1156.1,60.55,140.64,229.81,453.13,140.64
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,4287.0,13766.21,46.9,140.63,218.73,453.15,140.63
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,3154.0,3023.56,78.13,140.82,234.36,453.29,140.82
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,4251.0,2718.71,78.14,171.83,250.0,484.37,171.83
