startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,12.0,156.28,45.57,62.5,156.28,156.28,62.5
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,16.0,171.86,78.16,140.64,171.86,171.86,140.64
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,12.0,140.63,31.28,62.48,140.63,140.63,62.48
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,15.0,453.12,140.64,187.02,453.12,453.12,187.02
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,9.0,234.37,140.67,203.13,234.37,234.37,203.13
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,4.0,62.52,46.88,62.48,62.52,62.52,62.48
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,20.0,328.09,78.15,152.33,328.09,328.09,152.33
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,15.0,203.15,125.01,171.89,203.15,203.15,171.89
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,20.0,531.05,78.14,172.11,281.25,531.05,172.11
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,12.0,93.75,46.83,46.89,93.75,93.75,46.89
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,25.0,468.79,96.15,140.88,187.5,468.79,140.88
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,7.0,124.98,62.5,78.15,124.98,124.98,78.15
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,26.0,453.16,31.29,109.41,234.36,453.16,109.41
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,26.0,171.91,46.9,125.01,171.83,171.91,125.01
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,13.0,156.25,46.73,78.14,156.25,156.25,78.14
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,24.0,218.72,93.75,109.43,187.45,218.72,109.43
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,22.0,281.24,109.34,187.49,250.01,281.24,187.49
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,32.0,484.36,93.74,152.31,172.16,484.36,152.31
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,27.0,317.93,109.37,140.63,287.77,317.93,140.63
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,17.0,609.38,78.14,93.77,609.38,609.38,93.77
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,11.0,500.04,115.09,203.12,500.04,500.04,203.12
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,14.0,218.74,31.27,140.63,218.74,218.74,140.63
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,29.0,281.33,140.62,156.26,281.26,281.33,156.26
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,6.0,421.75,140.63,330.41,421.75,421.75,330.41
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,14.0,328.12,140.65,171.92,328.12,328.12,171.92
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,10.0,531.25,171.7,234.07,531.25,531.25,234.07
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,23.0,3361.84,62.55,140.61,171.88,3361.84,140.61
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,40.0,609.33,78.15,135.37,197.54,609.33,135.37
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,16.0,187.78,46.91,140.63,187.78,187.78,140.63
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,15.0,171.91,93.78,124.97,171.91,171.91,124.97
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,14.0,203.52,46.9,155.44,203.52,203.52,155.44
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,11.0,546.85,187.51,234.38,546.85,546.85,234.38
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,31.0,609.36,90.79,156.24,343.76,609.36,156.24
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,12.0,468.73,31.82,171.91,468.73,468.73,171.91
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,27.0,765.63,60.57,109.36,315.56,765.63,109.36
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,24.0,296.85,46.86,140.62,187.47,296.85,140.62
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,38.0,234.35,62.54,140.67,187.49,234.35,140.67
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,67.0,437.32,63.76,140.63,187.51,437.32,140.63
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,113.0,453.12,156.21,203.06,343.75,406.29,203.06
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,140.0,718.74,124.98,171.87,359.37,593.74,171.87
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,86.0,437.67,140.64,187.51,342.44,437.67,187.51
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,95.0,9484.29,140.62,171.87,453.15,9484.29,171.87
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,116.0,453.14,109.39,140.95,234.45,453.07,140.95
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,105.0,437.49,78.13,152.05,203.12,296.89,152.05
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,98.0,437.49,62.51,156.19,203.56,437.49,156.19
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,93.0,474.38,74.87,140.65,218.74,474.38,140.65
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,149.0,779.32,62.56,140.63,218.75,593.74,140.63
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserOpportunitiesDashboad,107.0,453.12,62.54,141.03,234.37,359.37,141.03
