startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,711.0,703.12,109.49,154.55,343.95,515.62,154.55
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1624.0,22239.09,63.06,140.63,320.24,504.45,140.63
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1208.0,2281.14,93.79,140.94,343.74,514.41,140.94
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,997.0,1399.78,140.59,156.62,374.69,483.56,156.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1070.0,562.44,107.58,171.87,328.12,499.99,171.87
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1092.0,16664.52,73.9,140.63,359.36,484.37,140.63
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1273.0,1155.75,48.26,140.33,234.38,468.75,140.33
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1149.0,688.85,126.87,187.29,359.37,485.27,187.29
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1119.0,938.83,97.75,160.55,328.39,484.82,160.55
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,973.0,8332.93,62.53,140.65,374.93,460.56,140.65
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,652.0,1177.71,99.54,140.65,374.95,453.18,140.65
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,320.0,453.16,46.46,73.51,187.51,437.48,73.51
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1404.0,2172.27,48.51,140.62,313.22,437.54,140.62
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1048.0,671.87,66.38,140.62,298.15,453.14,140.62
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,929.0,1988.14,77.34,140.63,328.48,452.74,140.63
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,818.0,859.39,85.98,140.63,250.3,499.99,140.63
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1473.0,1939.25,93.76,156.25,265.63,484.36,156.25
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1194.0,593.74,75.83,140.63,312.5,453.12,140.63
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1720.0,843.73,125.05,202.68,344.04,531.25,202.68
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1444.0,19178.91,125.0,203.12,514.03,1078.1,203.12
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,791.0,918.39,105.04,171.87,328.13,515.63,171.87
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1217.0,702.7,108.83,140.63,342.54,453.1,140.63
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,963.0,2718.38,76.37,140.63,421.91,1641.23,140.63
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,828.0,1124.98,140.62,167.82,452.92,671.86,167.82
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,712.0,515.62,119.71,141.03,343.76,453.13,141.03
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1034.0,781.26,139.08,143.7,343.74,437.94,143.7
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2823.0,765.63,85.69,140.63,328.15,437.85,140.63
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2676.0,3375.43,78.01,140.62,328.12,453.11,140.62
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3653.0,57038.81,103.62,140.68,421.8,843.74,140.68
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2132.0,19272.44,125.0,170.81,345.01,484.38,170.81
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1850.0,1718.71,125.0,155.1,374.99,500.0,155.1
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1374.0,562.51,62.41,109.58,234.41,421.87,109.58
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,661.0,1340.77,91.49,140.63,359.38,468.75,140.63
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1193.0,859.16,94.46,140.63,342.83,437.5,140.63
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2455.0,734.36,140.4,156.28,406.2,453.46,156.28
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1722.0,2667.84,124.65,140.63,328.16,437.5,140.63
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3400.0,19265.31,60.7,140.45,312.67,437.53,140.45
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3452.0,19267.92,78.41,140.62,343.55,499.99,140.62
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3837.0,1546.87,140.59,203.08,390.46,484.35,203.08
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3158.0,914.74,125.01,156.25,357.73,468.74,156.25
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1638.0,674.34,125.01,156.25,359.37,453.12,156.25
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2597.0,6562.52,140.48,156.25,421.86,1203.12,156.25
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,4024.0,13147.44,125.01,144.9,358.66,484.38,144.9
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3104.0,1016.55,124.99,140.66,343.75,453.13,140.66
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2673.0,859.37,78.09,140.62,327.98,406.24,140.62
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1929.0,4030.93,62.37,140.62,328.12,467.1,140.62
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,4229.0,1343.26,66.54,140.61,312.51,390.62,140.61
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2850.0,41077.8,78.67,156.15,16614.87,33609.11,156.15
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2852.0,2312.45,65.87,140.62,328.11,447.03,140.62
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2289.0,906.24,78.78,140.62,312.5,375.0,140.62
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1791.0,1767.06,124.41,140.63,328.11,390.62,140.63
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3456.0,16543.85,107.91,140.63,313.2,437.49,140.63
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3147.0,4053.16,92.69,140.64,328.17,453.12,140.64
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3539.0,3828.08,124.99,140.63,327.64,391.67,140.63
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2918.0,2746.27,93.8,140.63,328.12,421.88,140.63
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1732.0,1515.6,80.09,140.63,328.12,406.23,140.63
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3275.0,3546.87,47.51,125.01,233.58,359.37,125.01
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2886.0,1797.0,78.01,140.62,312.49,375.04,140.62
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,3010.0,1656.23,124.95,140.63,328.06,406.24,140.63
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1668.0,5541.65,109.38,141.68,312.53,608.79,141.68
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1992.0,1171.87,140.57,156.25,328.16,436.55,156.25
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2690.0,964.96,65.71,140.62,312.49,375.0,140.62
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2321.0,812.53,76.18,140.62,312.53,375.02,140.62
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2876.0,19952.38,88.29,140.62,328.15,12608.85,140.62
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2608.0,6484.16,88.38,140.63,343.74,3519.47,140.63
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1644.0,16810.67,76.65,140.62,328.03,359.4,140.62
