startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10346.0,24167.64,65.42,140.63,327.54,483.98,140.63
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,13122.0,21445.54,93.2,140.64,299.59,468.74,140.64
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11457.0,2265.64,62.51,140.63,285.53,453.25,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12601.0,1578.07,60.95,140.62,249.99,453.14,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11209.0,29797.12,81.35,156.1,295.98,484.76,156.1
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9857.0,16304.06,61.77,140.62,281.44,468.77,140.62
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12795.0,2672.38,48.55,140.6,233.81,453.09,140.6
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8892.0,19245.74,120.79,156.37,328.09,499.95,156.37
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10526.0,40956.14,91.48,153.91,281.23,484.4,153.91
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9608.0,18990.56,49.18,140.6,265.57,453.2,140.6
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8684.0,19257.64,58.81,140.62,262.06,453.11,140.62
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,7234.0,19263.36,44.42,91.6,187.51,437.49,91.6
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12740.0,17826.31,48.39,140.62,266.28,453.13,140.62
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12053.0,20656.59,62.46,140.62,267.77,453.14,140.62
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12154.0,23609.63,60.86,140.62,327.33,453.22,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9422.0,10148.62,77.71,140.63,328.12,468.76,140.63
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12768.0,8390.56,78.15,140.67,281.11,483.45,140.67
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12410.0,21462.93,49.21,140.6,249.28,455.14,140.6
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11859.0,5894.42,91.13,151.14,312.65,499.99,151.14
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10601.0,37718.71,93.19,154.88,312.48,500.0,154.88
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8062.0,4217.67,92.05,140.67,323.39,499.79,140.67
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10196.0,239907.01,48.79,140.62,279.02,453.12,140.62
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11493.0,16036.93,62.61,140.63,273.24,453.13,140.63
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9782.0,19265.49,77.99,140.63,327.94,453.13,140.63
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10380.0,23500.95,60.71,140.63,328.12,453.13,140.63
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,7970.0,20599.21,62.46,140.63,328.12,453.86,140.63
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12615.0,10993.32,62.42,140.63,265.82,453.15,140.63
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,13098.0,22698.24,78.35,140.67,295.19,489.64,140.67
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12364.0,18673.64,62.55,140.63,250.01,453.47,140.63
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10720.0,19252.73,94.83,142.08,281.73,499.94,142.08
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9456.0,21424.84,62.49,140.62,299.03,468.64,140.62
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9024.0,13505.34,96.44,140.7,327.77,500.0,140.7
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9126.0,5406.26,60.61,140.62,315.48,454.2,140.62
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8444.0,23723.84,62.07,140.62,281.2,453.13,140.62
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,7941.0,19255.34,61.0,140.62,328.12,453.12,140.62
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8716.0,19270.0,58.59,140.62,304.58,453.13,140.62
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11642.0,2592.58,48.55,140.58,248.59,444.42,140.58
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11877.0,21856.97,49.21,140.61,235.26,453.12,140.61
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11184.0,20465.01,110.8,156.68,312.36,499.98,156.68
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10469.0,11104.8,78.39,140.63,328.12,484.37,140.63
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9388.0,20993.42,125.89,141.02,328.15,484.37,141.02
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8974.0,19266.14,125.25,141.96,374.72,499.87,141.96
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12105.0,6550.07,60.84,140.62,234.98,453.11,140.62
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,11425.0,17487.96,58.03,140.62,235.03,453.12,140.62
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,12746.0,3187.83,49.17,140.49,218.11,437.5,140.49
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10147.0,11269.98,49.24,140.62,203.15,413.39,140.62
