startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,8.0,312.52,78.15,191.46,312.52,312.52,191.46
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,17.0,375.05,97.85,156.25,375.05,375.05,156.25
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,19.0,250.03,125.01,159.63,250.03,250.03,159.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,25.0,484.01,156.29,234.55,281.25,484.01,234.55
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,14.0,531.23,218.73,290.35,531.23,531.23,290.35
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,15.0,312.5,144.49,171.88,312.5,312.5,171.88
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,28.0,328.11,140.63,187.52,312.5,328.11,187.52
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,13.0,515.65,174.1,218.79,515.65,515.65,218.79
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,11.0,505.68,250.02,281.28,505.68,505.68,281.28
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,15.0,296.87,156.25,250.02,296.87,296.87,250.02
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,14.0,453.14,218.73,343.76,453.14,453.14,343.76
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,6.0,171.88,109.38,125.02,171.88,171.88,125.02
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,21.0,437.5,108.66,203.39,328.15,437.5,203.39
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,23.0,562.48,93.79,171.93,298.17,562.48,171.93
