startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,138.0,734.37,109.42,203.13,468.74,610.31,203.13
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,108.0,296.88,62.55,124.97,187.47,219.62,124.97
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,51.0,312.5,125.03,171.87,279.47,312.5,171.87
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,20.0,250.05,156.02,187.48,203.05,250.05,187.48
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,63.0,296.87,156.25,203.14,265.63,296.87,203.14
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,86.0,656.24,79.0,156.24,265.5,656.24,156.24
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,130.0,824.74,61.86,140.36,265.62,421.46,140.36
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,116.0,952.86,140.94,203.13,498.44,609.37,203.13
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,127.0,828.11,109.39,187.48,499.98,812.48,187.48
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,126.0,578.12,49.43,109.39,281.24,468.75,109.39
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,35.0,515.55,46.88,124.82,500.21,515.55,124.82
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,25.0,640.62,76.78,125.03,293.89,640.62,125.03
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,95.0,752.13,79.1,171.89,374.99,752.13,171.89
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,128.0,436.93,140.62,156.25,250.0,406.25,156.25
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,46.0,436.4,46.52,78.08,204.84,436.4,78.08
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,146.0,390.62,93.79,140.61,192.52,324.14,140.61
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,107.0,328.13,83.1,152.77,218.76,296.41,152.77
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,34.0,562.51,140.63,171.92,531.24,562.51,171.92
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,73.0,375.0,89.92,140.62,206.67,375.0,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,187.0,1093.49,187.5,234.39,328.13,468.74,234.39
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,36.0,202.92,78.69,109.39,187.51,202.92,109.39
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,129.0,734.37,140.63,171.89,331.44,578.13,171.89
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,25.0,515.63,156.24,234.37,265.63,515.63,234.37
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,34.0,1015.61,156.25,281.26,1000.0,1015.61,281.26
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,15.0,203.13,156.29,187.52,203.13,203.13,187.52
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,10.0,58.5,31.3,42.97,58.5,58.5,42.97
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,335.0,578.12,140.62,156.27,296.92,482.67,156.27
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,337.0,515.71,78.15,140.62,281.26,435.27,140.62
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,218.0,691.93,78.13,156.24,328.13,453.12,156.24
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,194.0,640.63,140.63,203.11,309.63,421.87,203.11
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,207.0,531.24,109.37,154.0,234.4,343.75,154.0
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,95.0,503.48,125.01,216.78,281.25,503.48,216.78
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,21.0,203.15,125.01,140.7,186.74,203.15,140.7
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,68.0,171.91,33.04,79.56,155.28,171.91,79.56
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,68.0,343.74,46.88,140.64,268.84,343.74,140.64
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,176.0,546.87,140.54,156.29,343.75,531.27,156.29
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,442.0,531.24,78.12,140.62,250.02,433.13,140.62
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,136.0,515.63,48.4,125.07,203.12,437.55,125.07
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,230.0,578.08,140.62,203.15,344.65,515.64,203.15
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,348.0,859.37,140.63,161.41,374.97,531.25,161.41
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,224.0,578.12,140.62,187.49,375.03,562.49,187.49
