startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,509.0,437.52,31.28,125.0,156.24,437.23,125.0
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,724.0,1172.12,31.73,125.01,156.24,437.52,125.01
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,630.0,921.85,35.4,136.07,187.53,437.49,136.07
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,982.0,2296.18,59.95,140.06,246.23,474.96,140.06
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,890.0,1233.61,54.56,140.62,250.0,562.51,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,624.0,997.95,58.32,140.55,250.04,484.04,140.55
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,970.0,859.66,61.9,140.61,219.48,468.68,140.61
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,660.0,640.63,137.99,164.83,281.36,500.68,164.83
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,758.0,3547.62,90.31,140.64,280.84,485.86,140.64
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,904.0,4516.64,78.27,140.63,312.25,453.38,140.63
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,654.0,625.02,63.58,140.64,281.25,515.2,140.64
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,487.0,2562.46,62.45,132.94,218.7,421.83,132.94
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,873.0,19264.13,61.08,140.54,250.04,515.63,140.54
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,798.0,6776.63,78.08,140.65,265.62,453.13,140.65
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,905.0,10033.03,62.58,140.34,234.65,468.75,140.34
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,835.0,624.06,62.5,140.61,234.38,453.11,140.61
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1047.0,562.49,78.18,140.65,265.65,437.54,140.65
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1133.0,796.88,75.2,140.63,262.62,484.39,140.63
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1058.0,4023.14,91.58,140.67,296.87,515.64,140.67
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1138.0,671.86,125.01,170.27,335.69,562.49,170.27
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,770.0,21580.41,79.13,140.63,234.43,437.51,140.63
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,717.0,890.55,77.77,140.63,249.72,453.12,140.63
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,732.0,16186.52,78.33,141.44,265.45,453.12,141.44
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,500.0,1812.44,109.13,156.24,296.87,484.38,156.24
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,502.0,499.87,110.0,140.66,296.22,453.12,140.66
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,369.0,7812.76,61.17,140.33,234.39,502.64,140.33
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2416.0,24074.0,59.09,137.72,263.7,453.12,137.72
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2646.0,43820.3,46.96,138.17,328.12,453.12,138.17
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2163.0,17590.27,62.53,140.62,330.47,468.31,140.62
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2353.0,6782.7,62.49,140.61,327.41,439.75,140.61
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1919.0,2424.69,60.67,140.61,328.11,442.18,140.61
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1754.0,2497.05,46.23,94.85,312.49,437.48,94.85
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1687.0,640.63,47.8,125.04,328.13,437.54,125.04
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1378.0,19249.1,46.73,93.89,312.46,437.52,93.89
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1472.0,2625.62,46.9,125.0,328.11,437.5,125.0
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1556.0,655.81,49.77,140.18,328.19,437.5,140.18
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2608.0,2131.17,48.44,125.91,328.06,437.48,125.91
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2707.0,8354.38,46.71,124.99,327.9,437.51,124.99
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2558.0,1860.5,74.94,140.62,325.58,437.9,140.62
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2609.0,19256.46,62.11,140.61,328.13,437.54,140.61
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1556.0,19245.96,125.0,140.64,375.0,531.25,140.64
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1346.0,29925.61,62.89,140.62,328.1,530.94,140.62
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2806.0,1921.67,109.78,140.62,342.23,437.71,140.62
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2647.0,953.11,62.51,140.54,312.51,432.34,140.54
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2343.0,15069.39,63.36,140.62,328.13,437.51,140.62
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1767.0,1031.26,47.22,139.78,313.12,437.5,139.78
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2230.0,560.39,47.85,125.03,312.5,390.6,125.03
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2352.0,3935.95,48.67,138.96,312.49,360.32,138.96
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2264.0,843.91,62.52,140.56,312.49,437.09,140.56
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2517.0,734.37,47.63,126.19,282.85,359.33,126.19
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1810.0,760.95,59.17,130.93,312.52,375.0,130.93
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2846.0,3917.31,49.47,126.35,301.48,390.69,126.35
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2659.0,484.37,45.78,125.01,312.37,359.37,125.01
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2503.0,2617.62,47.56,134.83,218.77,359.38,134.83
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2461.0,3609.12,59.53,140.43,327.02,390.64,140.43
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,3130.0,3156.2,125.0,140.63,312.52,406.25,140.63
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2621.0,3123.76,78.24,140.58,312.5,359.37,140.58
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2778.0,4775.0,59.82,140.46,312.45,406.24,140.46
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2326.0,1248.32,63.43,140.08,251.65,343.98,140.08
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1953.0,300003.62,62.53,125.0,312.49,449.99,125.0
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,1831.0,1127.86,125.0,140.63,312.53,441.67,140.63
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,3005.0,1531.23,124.16,140.61,312.5,375.0,140.61
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2348.0,859.26,85.07,140.62,326.84,390.58,140.62
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyTiles,2861.0,983.06,68.65,140.61,312.43,359.41,140.61
