startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,All,312601.0,30176.36,107.67,154.14,391.91,656.61,154.14
2018-02-05,ClientCenterMiddleTier,All,All,338631.0,101929.01,109.99,140.69,358.54,595.16,140.69
2018-02-06,ClientCenterMiddleTier,All,All,364533.0,300011.13,93.7,140.66,359.37,631.49,140.66
2018-02-07,ClientCenterMiddleTier,All,All,367319.0,32618.53,122.76,144.56,372.83,610.51,144.56
2018-02-08,ClientCenterMiddleTier,All,All,329773.0,300004.35,109.97,156.26,390.65,655.72,156.26
2018-02-09,ClientCenterMiddleTier,All,All,396895.0,25894.22,35.53,140.62,328.14,554.49,140.62
2018-02-12,ClientCenterMiddleTier,All,All,327607.0,43633.21,93.0,140.65,344.41,604.11,140.65
2018-02-13,ClientCenterMiddleTier,All,All,217970.0,36396.48,125.0,171.04,407.07,653.4,171.04
2018-02-14,ClientCenterMiddleTier,All,All,293475.0,62114.45,109.38,156.24,382.51,637.61,156.24
2018-02-15,ClientCenterMiddleTier,All,All,278655.0,44269.76,103.48,148.26,374.95,610.1,148.26
2018-02-16,ClientCenterMiddleTier,All,All,250535.0,58286.23,93.4,140.66,359.34,546.97,140.66
2018-02-19,ClientCenterMiddleTier,All,All,206956.0,72011.61,62.52,140.63,343.74,529.81,140.63
2018-02-20,ClientCenterMiddleTier,All,All,336060.0,83807.48,106.18,140.65,359.33,578.9,140.65
2018-02-21,ClientCenterMiddleTier,All,All,318657.0,69064.04,108.79,140.67,359.31,546.87,140.67
2018-02-22,ClientCenterMiddleTier,All,All,339502.0,35938.63,122.81,140.66,358.89,561.41,140.66
2018-02-23,ClientCenterMiddleTier,All,All,276330.0,81532.13,103.76,140.84,362.13,593.74,140.84
2018-02-26,ClientCenterMiddleTier,All,All,355144.0,35061.76,108.19,156.24,377.12,627.39,156.24
2018-02-27,ClientCenterMiddleTier,All,All,389525.0,107693.35,95.36,140.66,360.37,578.13,140.66
2018-02-28,ClientCenterMiddleTier,All,All,347909.0,231465.89,124.78,156.29,389.91,656.4,156.29
2018-03-01,ClientCenterMiddleTier,All,All,335692.0,39277.32,124.99,160.54,406.13,687.67,160.54
2018-03-02,ClientCenterMiddleTier,All,All,275685.0,300008.29,110.6,156.27,402.24,681.51,156.27
2018-03-05,ClientCenterMiddleTier,All,All,298300.0,239907.01,94.25,140.66,375.09,672.27,140.66
2018-03-06,ClientCenterMiddleTier,All,All,380078.0,27898.03,78.11,140.64,359.48,684.28,140.64
2018-03-07,ClientCenterMiddleTier,All,All,279085.0,74594.91,125.0,156.1,406.23,686.71,156.1
2018-03-08,ClientCenterMiddleTier,All,All,380846.0,30035.92,62.36,140.63,370.77,624.82,140.63
2018-03-09,ClientCenterMiddleTier,All,All,231091.0,25382.19,109.91,140.67,375.28,672.24,140.67
2018-03-12,ClientCenterMiddleTier,All,All,372889.0,64400.51,107.63,156.23,374.99,608.8,156.23
2018-03-13,ClientCenterMiddleTier,All,All,405135.0,300008.32,93.63,140.78,369.53,609.63,140.78
2018-03-14,ClientCenterMiddleTier,All,All,398426.0,57038.81,109.33,140.64,355.86,546.87,140.64
2018-03-15,ClientCenterMiddleTier,All,All,357915.0,44844.64,124.98,155.36,377.72,609.34,155.36
2018-03-16,ClientCenterMiddleTier,All,All,317486.0,300171.65,116.61,140.73,372.24,557.88,140.73
2018-03-19,ClientCenterMiddleTier,All,All,279871.0,25533.41,99.62,141.41,359.5,565.22,141.41
2018-03-20,ClientCenterMiddleTier,All,All,293846.0,41062.34,78.18,140.63,359.35,562.69,140.63
