startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,13360.0,20513.76,31.3,59.97,156.26,401.54,59.97
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,18007.0,20090.56,130.93,140.63,250.58,453.07,140.63
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,26264.0,9999.88,62.48,140.64,187.58,453.13,140.64
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,30216.0,29065.44,140.62,156.21,278.24,453.48,156.21
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,13482.0,27967.6,125.26,156.22,265.45,468.73,156.22
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,14540.0,24530.36,140.83,156.26,452.09,468.78,156.26
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,9471.0,19720.36,62.54,156.22,204.33,453.57,156.22
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,3412.0,19252.47,125.15,143.88,187.87,453.17,143.88
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,6908.0,22464.68,45.95,85.21,156.37,439.38,85.21
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,7614.0,17563.31,46.99,140.62,171.87,453.14,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,9833.0,21543.69,34.08,140.64,171.9,453.16,140.64
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,2335.0,2141.98,46.72,140.61,158.54,453.11,140.61
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,8598.0,18804.42,46.87,140.58,171.3,453.14,140.58
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,7353.0,2218.83,49.81,140.63,187.34,453.15,140.63
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,4059.0,11424.53,47.04,140.62,171.86,437.53,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,5557.0,6661.65,45.57,78.15,156.33,453.12,78.15
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,6436.0,6114.97,46.16,62.51,156.26,312.51,62.51
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,5488.0,11515.89,35.72,78.19,156.25,437.51,78.19
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AsyncJobQueueHistoryAndReportingHistory,5518.0,18903.01,46.88,140.62,171.87,437.53,140.62
