startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,61.0,828.09,187.51,281.24,515.62,828.09,281.24
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,86.0,499.97,171.88,203.13,468.34,499.97,203.13
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,58.0,20586.35,171.95,248.4,594.79,20586.35,248.4
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,154.0,1140.61,204.77,344.19,671.88,1015.66,344.19
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,25.0,343.77,176.11,234.35,281.28,343.77,234.35
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,85.0,955.61,171.88,251.01,687.54,955.61,251.01
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,269.0,1671.88,234.38,343.76,609.38,781.26,343.76
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,273.0,36380.63,204.0,328.12,578.11,18972.38,328.12
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,131.0,859.4,296.85,375.01,591.48,781.2,375.01
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,324.0,23769.25,265.63,374.99,671.23,1887.93,374.99
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,30.0,406.16,171.88,219.99,379.5,406.16,219.99
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,163.0,749.97,281.24,376.39,562.48,640.58,376.39
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,35.0,667.69,125.02,187.49,610.03,667.69,187.49
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,176.0,703.13,218.76,358.04,546.77,703.11,358.04
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,76.0,687.48,125.38,217.1,437.5,687.48,217.1
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,67.0,905.72,203.09,281.25,624.64,905.72,281.25
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,56.0,514.1,218.75,296.87,468.88,514.1,296.87
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,105.0,1281.2,203.12,296.92,577.93,1043.67,296.92
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,74.0,622.43,184.71,264.75,388.42,622.43,264.75
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,61.0,968.77,183.25,234.37,389.68,968.77,234.37
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,199.0,687.5,281.25,375.0,594.53,687.5,375.0
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,76.0,421.07,152.36,218.73,343.75,421.07,218.73
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,90.0,1597.23,263.93,546.9,1109.38,1597.23,546.9
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,16.0,406.25,141.94,181.46,406.25,406.25,181.46
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,23.0,453.15,186.97,218.76,312.5,453.15,218.76
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,24.0,234.47,111.37,156.58,203.14,234.47,156.58
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,296.0,812.5,156.63,249.56,453.41,641.78,249.56
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,175.0,531.24,142.78,250.04,453.11,512.94,250.04
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,238.0,1309.87,108.83,187.36,390.61,561.7,187.36
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,337.0,17406.9,171.88,320.14,593.75,999.99,320.14
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,152.0,1124.99,156.25,249.92,546.76,859.35,249.92
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,177.0,671.91,170.94,327.35,484.42,640.61,327.35
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,66.0,578.13,140.63,252.59,500.0,578.13,252.59
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,185.0,6953.34,171.87,234.38,468.75,677.75,234.38
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,97.0,531.24,156.26,233.83,421.88,531.24,233.83
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,53.0,562.5,156.24,202.69,453.13,562.5,202.69
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,314.0,20121.79,156.25,265.62,623.94,734.36,265.62
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,238.0,593.74,140.62,190.33,406.19,545.95,190.33
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,472.0,2687.5,154.91,261.34,548.41,1234.45,261.34
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,172.0,1156.24,156.25,250.01,578.12,1124.96,250.01
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,133.0,796.86,171.38,218.74,468.63,593.75,218.74
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,109.0,531.24,67.43,140.7,375.0,484.37,140.7
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,412.0,1796.81,156.25,280.89,499.87,687.48,280.89
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,237.0,16487.58,78.12,156.25,339.32,561.46,156.25
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,88.0,1437.48,126.46,216.78,625.44,1437.48,216.78
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,130.0,466.76,123.01,192.37,390.58,453.17,192.37
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,247.0,1169.15,65.84,138.74,249.99,546.91,138.74
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,368.0,750.0,78.01,156.25,328.57,562.49,156.25
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,256.0,2171.89,125.23,203.1,483.47,843.76,203.1
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,184.0,593.78,130.09,171.88,419.7,593.75,171.88
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,155.0,953.11,142.27,233.83,468.76,937.5,233.83
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,327.0,984.35,137.17,218.76,437.6,593.3,218.76
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,211.0,782.69,94.63,156.28,326.73,515.63,156.28
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,192.0,499.5,91.51,156.24,249.06,468.74,156.24
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,198.0,1441.3,76.36,156.24,343.6,515.62,156.24
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,322.0,1890.34,156.24,187.51,453.13,734.36,187.51
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,376.0,531.25,93.76,156.24,328.17,394.19,156.24
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,388.0,456.26,65.91,137.51,247.01,392.49,137.51
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,215.0,3076.95,61.9,156.24,296.27,546.95,156.24
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,206.0,1455.86,122.88,156.25,374.99,562.24,156.25
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccountsPerformance,277.0,3296.88,140.66,187.5,436.86,1078.1,187.5
