startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,185.0,828.13,140.63,203.04,281.26,562.48,203.04
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,140.0,656.25,136.25,203.14,297.2,515.61,203.14
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,132.0,671.93,156.27,218.74,517.75,562.52,218.74
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,83.0,515.43,125.42,203.04,280.63,515.43,203.04
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,154.0,453.67,139.89,203.14,265.66,312.51,203.14
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,163.0,2788.14,156.24,203.18,468.72,531.26,203.18
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,228.0,1588.88,120.66,187.5,249.98,468.87,187.5
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,211.0,750.01,140.55,218.76,321.65,531.23,218.76
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,116.0,515.62,125.0,202.83,309.16,356.07,202.83
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,191.0,538.77,109.38,203.12,390.42,531.23,203.12
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,124.0,437.54,153.34,203.13,294.19,326.88,203.13
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,68.0,333.13,152.65,187.47,248.92,333.13,187.47
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,184.0,1296.66,122.33,203.15,343.74,498.27,203.15
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,166.0,609.88,156.24,217.63,390.67,593.74,217.63
