startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,247.0,484.36,15.67,124.96,140.65,421.87,124.96
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,190.0,625.0,15.65,124.99,140.6,234.37,124.99
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,197.0,468.74,15.66,64.81,140.63,203.15,64.81
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,231.0,453.12,15.66,124.98,140.66,437.51,124.98
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,185.0,1921.87,15.66,125.0,171.89,464.37,125.0
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,176.0,453.71,15.64,31.31,125.02,187.49,31.31
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,146.0,413.94,15.65,124.98,140.63,296.88,124.98
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,117.0,437.49,46.92,125.01,218.69,437.49,125.01
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,151.0,437.54,15.66,124.99,140.63,421.89,124.99
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,199.0,1937.47,19.29,125.0,140.66,531.28,125.0
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,123.0,437.53,15.65,124.98,125.12,425.13,124.98
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,68.0,140.63,15.64,31.22,125.01,140.63,31.22
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,199.0,2468.8,15.66,66.59,140.64,313.88,66.59
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,116.0,438.56,16.58,125.0,140.63,171.9,125.0
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,168.0,437.52,15.8,124.99,140.63,437.49,124.99
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,128.0,437.61,15.66,124.86,140.64,437.51,124.86
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,192.0,328.13,15.66,124.99,140.72,234.4,124.99
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,179.0,671.74,15.67,109.39,140.62,433.09,109.39
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,147.0,422.44,18.63,125.0,156.28,234.38,125.0
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,121.0,478.84,17.56,124.99,140.61,437.24,124.99
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,133.0,421.85,19.29,125.0,217.44,328.11,125.0
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,165.0,451.23,27.42,125.0,156.25,437.5,125.0
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,156.0,437.48,29.25,125.0,156.24,437.47,125.0
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,101.0,437.5,20.52,125.0,140.63,437.49,125.0
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,150.0,437.63,31.25,125.0,156.25,437.5,125.0
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,112.0,437.51,15.66,124.97,140.61,437.48,124.97
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,220.0,312.53,15.65,124.97,140.62,203.16,124.97
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,243.0,2749.93,15.73,124.99,140.95,437.45,124.99
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,170.0,453.12,15.65,31.26,140.62,421.9,31.26
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,142.0,437.5,16.44,125.0,140.62,437.49,125.0
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,143.0,421.88,18.28,125.0,140.63,421.87,125.0
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,66.0,156.26,15.65,123.4,140.62,156.26,123.4
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,119.0,437.49,15.66,46.87,187.5,434.2,46.87
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,65.0,421.91,15.66,125.0,140.63,421.91,125.0
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,83.0,218.76,15.64,31.25,140.62,218.76,31.25
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,108.0,171.88,15.81,123.99,125.09,140.62,123.99
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,155.0,660.02,15.72,124.45,140.62,422.99,124.45
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,188.0,437.49,15.65,31.28,125.1,421.89,31.28
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,142.0,437.48,17.33,125.0,140.66,437.46,125.0
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,136.0,437.51,18.34,125.0,140.63,437.5,125.0
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,64.0,453.13,17.02,125.0,140.61,453.13,125.0
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,63.0,4312.6,29.62,125.01,202.92,4312.6,125.01
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,124.0,1980.09,15.66,125.0,187.45,1358.63,125.0
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,88.0,437.52,15.65,109.38,140.63,437.52,109.38
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,96.0,140.65,15.64,31.28,140.61,140.65,31.28
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,48.0,515.62,15.85,125.0,140.63,515.62,125.0
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,125.0,261.29,15.65,31.23,125.01,175.23,31.23
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,80.0,1093.82,15.65,124.99,140.59,1093.82,124.99
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,97.0,156.28,16.09,125.0,140.62,156.28,125.0
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,91.0,3296.88,17.74,125.0,140.63,3296.88,125.0
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,113.0,252.52,15.65,109.42,125.04,203.14,109.42
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,111.0,140.63,15.65,124.99,140.58,140.63,124.99
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,154.0,156.26,15.64,28.2,140.59,155.54,28.2
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,103.0,2869.69,15.65,124.99,125.29,171.87,124.99
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,189.0,796.84,31.28,125.01,140.63,515.62,125.01
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,93.0,1296.9,15.64,31.24,127.22,1296.9,31.24
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,110.0,3093.81,18.02,125.01,140.62,140.71,125.01
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,109.0,281.25,15.64,31.17,125.03,140.62,31.17
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,95.0,143.01,15.65,124.92,140.58,143.01,124.92
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,77.0,125.04,46.91,109.36,125.0,125.04,109.36
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,113.0,171.92,124.98,125.01,140.62,156.25,125.01
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,120.0,328.13,15.66,125.0,140.62,171.87,125.0
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,79.0,187.5,16.78,125.0,140.63,187.5,125.0
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,153.0,218.74,15.64,93.79,140.63,203.13,93.79
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,112.0,250.04,15.67,125.0,140.62,156.23,125.0
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,100.0,531.23,31.23,125.01,140.63,437.49,125.01
2018-05-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,114.0,1272.98,15.66,124.98,125.08,140.64,124.98
2018-05-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,115.0,203.13,15.68,125.0,140.6,171.88,125.0
2018-05-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,129.0,469107.68,19.43,125.0,171.86,285483.12,125.0
2018-05-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,295.0,304448.56,30.88,125.04,14686.22,166961.93,125.04
2018-05-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,130.0,613.57,17.81,125.0,140.63,187.49,125.0
2018-05-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,90.0,2812.94,15.65,124.99,140.6,2812.94,124.99
2018-05-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,103.0,437.51,15.66,125.0,140.61,203.13,125.0
2018-05-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,126.0,140.65,15.67,124.98,140.6,140.65,124.98
2018-05-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,89.0,171.92,15.65,124.97,140.65,171.92,124.97
2018-05-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,60.0,140.66,19.39,125.02,140.63,140.66,125.02
2018-05-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,128.0,189.22,15.65,36.42,129.77,144.37,36.42
2018-05-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,108.0,2546.96,15.64,32.11,140.62,156.27,32.11
2018-05-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,105.0,425.52,17.3,125.0,140.6,328.11,125.0
2018-05-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobEntriesDbDataWithNdm,96.0,2484.44,15.67,124.99,129.2,2484.44,124.99
