startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1537.0,8056.24,140.6,265.42,453.1,778.62,265.42
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1132.0,88243.96,125.01,219.69,421.87,626.45,219.69
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1000.0,9273.46,125.0,234.76,419.87,625.83,234.76
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1323.0,1390.73,126.91,264.37,437.46,624.99,264.37
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1017.0,49938.96,124.99,203.26,421.86,1125.42,203.26
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,825.0,9235.13,124.52,202.77,406.26,812.48,202.77
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,873.0,21118.18,124.77,189.66,394.29,765.61,189.66
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,650.0,36396.48,126.37,265.62,468.88,906.13,265.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,880.0,1390.82,124.98,195.96,407.62,609.34,195.96
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,975.0,17547.36,100.97,187.51,390.63,593.74,187.51
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,693.0,1343.88,93.81,188.0,421.86,500.23,188.0
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,491.0,3542.07,31.25,187.52,345.98,750.53,187.52
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1107.0,3263.2,125.0,234.3,421.89,640.74,234.3
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,903.0,7802.25,117.86,186.39,406.2,640.58,186.39
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1276.0,11911.0,125.01,218.64,390.62,640.67,218.64
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,747.0,3236.8,125.0,245.85,421.91,718.76,245.85
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1308.0,13978.92,140.64,250.16,421.66,562.49,250.16
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1366.0,20993.07,125.07,249.85,392.59,624.01,249.85
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1006.0,23664.54,125.0,265.56,446.83,1062.52,265.56
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1016.0,2594.89,125.01,266.2,437.49,625.03,266.2
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,911.0,2359.37,132.77,281.27,465.48,734.39,281.27
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,976.0,6060.79,125.0,203.48,390.63,703.16,203.48
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1345.0,3033.9,140.79,249.59,437.5,671.83,249.59
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,707.0,7202.15,125.0,202.92,437.49,909.96,202.92
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1091.0,3382.7,140.61,249.97,473.3,796.87,249.97
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,641.0,5671.87,124.99,203.11,427.78,1125.48,203.11
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1118.0,2536.17,125.01,265.46,439.6,765.33,265.46
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1290.0,33034.83,125.0,250.44,453.13,796.88,250.44
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1275.0,12237.33,140.63,276.21,500.0,937.49,276.21
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1028.0,6557.88,140.63,325.69,499.99,1078.1,325.69
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1074.0,1593.01,125.04,280.14,453.19,765.61,280.14
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,608.0,6623.65,140.62,281.3,468.74,781.5,281.3
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,831.0,41062.34,125.0,249.6,499.97,734.37,249.6
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,658.0,14347.68,140.63,281.6,578.11,8382.19,281.6
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,649.0,19182.94,125.0,265.65,502.95,1187.5,265.65
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,966.0,11202.5,140.62,296.88,562.48,937.49,296.88
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1076.0,33893.07,125.0,281.47,468.76,843.75,281.47
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1348.0,19272.96,126.35,250.02,499.99,1156.23,250.02
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1040.0,20856.05,125.01,250.12,499.99,890.61,250.12
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1206.0,12906.33,125.01,237.12,531.16,891.69,237.12
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,546.0,14223.65,125.01,235.48,471.59,906.39,235.48
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,793.0,36716.82,125.02,219.05,531.23,4328.12,219.05
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,935.0,29626.72,125.0,218.0,437.49,797.36,218.0
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1157.0,2072.02,140.61,256.29,500.01,796.14,256.29
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1011.0,1411.91,126.69,229.91,452.85,766.59,229.91
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,653.0,11609.43,125.0,203.18,406.25,609.84,203.18
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1191.0,15845.35,125.01,218.77,390.66,521.02,218.77
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1105.0,6109.33,140.62,249.85,406.23,578.12,249.85
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1096.0,19443.15,125.0,218.24,468.75,952.45,218.24
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,878.0,8916.25,125.0,202.18,406.25,563.24,202.18
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,960.0,1062.49,125.01,218.75,388.22,515.64,218.75
