startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,11019.0,22796.75,187.25,282.24,500.44,828.11,282.24
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9036.0,51644.72,186.21,265.92,468.71,765.53,265.92
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8087.0,8433.24,187.48,281.33,482.97,734.48,281.33
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10167.0,21815.18,173.41,273.28,468.77,704.62,273.28
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8367.0,50960.86,174.44,280.92,500.02,874.1,280.92
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6666.0,17250.11,171.87,264.88,466.24,737.46,264.88
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8762.0,23970.12,171.84,251.67,453.99,720.9,251.67
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6539.0,25709.84,200.51,282.1,499.99,767.18,282.1
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6904.0,20666.46,171.54,264.44,469.02,781.68,264.44
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7249.0,23151.29,171.91,268.56,485.66,937.48,268.56
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6114.0,19248.18,171.85,264.29,467.4,796.87,264.29
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3813.0,6861.13,172.11,265.4,483.65,796.74,265.4
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8155.0,20375.64,168.79,249.4,455.66,822.81,249.4
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7580.0,21469.63,171.76,251.21,478.75,749.99,251.21
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8022.0,11787.05,157.82,249.74,438.04,718.76,249.74
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6888.0,20640.71,186.93,279.91,483.34,767.0,279.91
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9413.0,34457.65,181.3,265.63,468.47,789.04,265.63
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10037.0,28810.11,175.42,265.72,483.91,703.12,265.72
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8809.0,33389.42,188.18,296.94,501.79,781.22,296.94
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9905.0,14065.86,187.36,281.6,483.36,750.08,281.6
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7857.0,20264.92,187.5,281.27,486.89,737.28,281.27
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8203.0,63671.47,156.33,234.39,436.65,655.9,234.39
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7563.0,21677.48,171.87,250.0,453.24,687.49,250.0
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,5638.0,21195.38,171.69,250.3,437.53,744.04,250.3
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6698.0,20668.52,156.24,234.71,452.94,687.33,234.71
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,5761.0,5572.94,156.24,234.39,453.17,718.73,234.39
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,11239.0,64400.51,171.66,265.52,468.2,704.28,265.52
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10483.0,33005.93,171.17,267.62,468.76,781.28,267.62
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10048.0,20380.22,170.83,265.56,468.73,838.46,265.56
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9395.0,9208.56,187.51,296.9,499.93,781.24,296.9
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8591.0,19259.07,171.87,281.24,484.41,760.44,281.24
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,5941.0,18300.74,171.91,281.24,468.89,734.36,281.24
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,5422.0,23544.83,156.25,268.0,468.73,874.98,268.0
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,4005.0,21108.03,156.25,269.89,530.54,5315.41,269.89
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,5352.0,30289.02,155.64,263.56,499.89,781.25,263.56
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6299.0,30065.29,157.94,275.89,516.1,968.74,275.89
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10018.0,38178.71,156.23,257.86,484.38,804.55,257.86
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,11336.0,26091.58,141.43,234.25,466.24,859.35,234.25
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8811.0,20902.44,171.88,265.63,515.47,843.74,265.63
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8682.0,25864.63,156.22,249.66,499.36,890.63,249.66
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6549.0,12511.71,171.87,250.8,499.45,866.02,250.8
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8397.0,38412.3,153.87,218.76,468.74,1007.83,218.76
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10207.0,29313.41,141.61,231.13,450.03,728.34,231.13
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8858.0,19272.28,140.82,230.98,468.6,890.61,230.98
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8726.0,14642.45,139.21,216.51,437.5,704.66,216.51
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6883.0,14797.49,140.87,218.79,421.86,668.66,218.79
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9402.0,5015.53,140.58,208.11,390.64,639.73,208.11
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8415.0,4421.79,155.24,218.69,390.62,624.62,218.69
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8227.0,17627.38,143.29,218.86,453.21,750.37,218.86
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8593.0,30193.16,142.26,218.79,406.25,624.99,218.79
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7027.0,8812.5,140.59,208.3,390.62,599.26,208.3
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10421.0,4915.12,140.63,203.12,373.7,593.73,203.12
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9458.0,34893.9,138.34,203.12,374.98,626.91,203.12
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9484.0,9515.84,140.65,206.3,378.23,577.16,206.3
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10232.0,15192.11,140.63,216.47,390.61,655.57,216.47
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7277.0,9630.93,140.14,203.27,374.95,577.66,203.27
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9602.0,4477.99,140.6,210.45,375.11,577.7,210.45
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9280.0,28687.03,140.64,216.17,389.56,612.57,216.17
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9039.0,9623.43,140.61,216.82,452.06,689.54,216.82
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8166.0,300015.03,171.89,265.7,734.4,41938.09,265.7
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7265.0,19254.71,171.62,234.41,406.15,624.69,234.41
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9706.0,7740.22,140.63,204.4,375.87,609.48,204.4
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8738.0,19279.35,141.62,218.72,390.65,609.33,218.72
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9271.0,14328.7,140.62,203.14,374.87,549.34,203.14
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9239.0,14738.37,140.63,218.75,375.05,577.46,218.75
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8323.0,3422.26,140.64,206.33,374.24,500.27,206.33
2018-05-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8576.0,300020.38,140.62,203.12,390.76,75384.8,203.12
2018-05-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10374.0,24437.2,140.61,203.12,365.86,562.5,203.12
2018-05-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9020.0,584521.22,140.63,218.74,508.61,26945.61,218.74
2018-05-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9767.0,363743.93,156.25,265.1,6396.87,64377.83,265.1
2018-05-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7988.0,16123.53,140.63,217.93,390.59,718.58,217.93
2018-05-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9543.0,5104.33,125.17,202.9,362.5,579.71,202.9
2018-05-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9852.0,21251.26,140.53,204.26,376.53,625.04,204.26
2018-05-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9603.0,9453.54,140.39,203.24,374.88,565.67,203.24
2018-05-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9591.0,120207.34,141.21,216.54,393.1,1081.55,216.54
2018-05-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6936.0,180405.53,125.59,202.84,408.46,13485.58,202.84
2018-05-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10069.0,11051.91,135.15,193.03,357.92,531.21,193.03
2018-05-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,11373.0,3109.45,138.94,203.11,373.74,579.23,203.11
2018-05-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10213.0,7220.82,140.6,203.06,367.81,562.51,203.06
2018-05-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10548.0,2950.79,140.21,202.82,361.92,556.19,202.82
2018-05-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7336.0,12867.01,139.5,203.04,361.54,548.92,203.04
2018-05-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3990.0,3239.11,125.01,203.07,360.63,518.19,203.07
2018-05-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10747.0,9931.55,140.61,203.24,359.38,515.73,203.24
2018-05-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10854.0,4500.09,156.17,221.3,389.59,667.26,221.3
2018-05-31,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9096.0,19267.05,140.61,203.16,359.4,531.25,203.16
2018-06-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8203.0,19266.89,138.39,200.24,359.44,529.41,200.24
2018-06-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10502.0,57614.04,125.03,187.54,345.98,494.73,187.54
2018-06-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9412.0,27653.78,139.2,202.06,373.01,553.52,202.06
2018-06-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9630.0,2156.29,155.4,249.75,426.04,607.95,249.75
2018-06-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8518.0,13310.32,140.77,234.42,419.55,609.28,234.42
2018-06-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8037.0,15520.43,142.88,234.43,421.38,611.22,234.43
2018-06-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9506.0,18022.06,140.62,219.89,390.71,562.31,219.89
2018-06-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10882.0,26952.84,140.61,220.1,389.53,546.78,220.1
2018-06-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10702.0,300031.03,140.62,231.53,421.54,10070.0,231.53
2018-06-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9603.0,12282.65,156.87,248.53,392.56,578.16,248.53
2018-06-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8248.0,29459.62,146.85,243.56,430.89,2040.19,243.56
2018-06-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9167.0,12406.9,140.65,234.09,392.09,609.57,234.09
2018-06-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8737.0,12892.92,145.09,234.28,398.57,592.2,234.28
2018-06-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9929.0,4422.13,140.29,219.82,393.72,593.75,219.82
2018-06-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8559.0,6801.85,143.91,234.73,402.46,562.1,234.73
2018-06-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8043.0,16390.57,154.95,235.98,405.1,618.24,235.98
2018-06-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10863.0,50495.73,153.73,238.1,407.86,656.55,238.1
2018-06-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,11138.0,17574.94,152.73,234.38,406.12,609.39,234.38
2018-06-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9237.0,5062.66,141.36,234.87,402.52,576.03,234.87
2018-06-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9026.0,31143.01,156.22,244.84,437.92,733.87,244.84
2018-06-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,8096.0,56760.34,156.22,282.49,560.78,1267.67,282.49
2018-07-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,10418.0,35844.88,140.69,234.49,468.88,1001.78,234.49
2018-07-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,9218.0,16202.19,155.78,253.21,515.77,954.22,253.21
2018-07-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3923.0,9731.31,153.5,279.35,531.46,1250.16,279.35
2018-07-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,7763.0,35271.18,140.61,235.14,450.23,880.53,235.14
2018-07-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,6017.0,2186.48,139.06,244.65,437.43,732.11,244.65
