startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,611.0,454.33,64.16,140.62,187.5,297.25,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,620.0,609.35,109.29,140.67,187.5,374.95,140.67
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,606.0,561.01,46.89,140.62,187.57,328.13,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,455.0,968.77,48.66,140.6,203.16,453.13,140.6
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,511.0,596.26,62.49,156.25,203.12,468.2,156.25
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,333.0,593.73,62.5,156.23,234.4,425.86,156.23
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,529.0,859.36,93.76,156.18,219.39,468.76,156.18
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,389.0,2320.4,55.56,140.68,203.12,453.08,140.68
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,397.0,468.71,74.91,140.66,218.74,343.78,140.66
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,202.0,374.96,47.84,140.63,171.89,281.22,140.63
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,276.0,751.56,78.13,155.78,281.82,515.64,155.78
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,257.0,891.39,59.3,140.62,250.0,515.63,140.62
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,342.0,263.27,31.29,46.9,140.16,185.28,46.9
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,274.0,765.62,46.88,140.63,204.09,328.11,140.63
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,371.0,454.02,62.04,140.99,218.77,359.37,140.99
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,97.0,609.33,47.39,156.29,312.5,609.33,156.29
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,333.0,859.38,69.34,140.66,218.74,468.65,140.66
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,312.0,656.23,46.88,140.63,187.51,456.29,140.63
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,190.0,437.49,46.88,140.62,171.9,343.74,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,369.0,749.21,35.63,93.79,206.13,484.36,93.79
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,105.0,328.1,78.13,140.62,171.87,217.81,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,174.0,265.63,33.51,47.85,140.64,250.0,47.85
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,287.0,404.73,46.87,140.61,156.26,263.78,140.61
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,108.0,546.59,60.38,140.63,203.15,328.12,140.63
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,206.0,2625.53,109.33,140.64,312.5,1734.36,140.64
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,59.0,437.5,31.31,48.16,250.01,437.5,48.16
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,330.0,843.78,60.3,119.13,187.52,328.15,119.13
