startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3143.0,1421.87,94.25,158.37,391.28,640.59,158.37
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3517.0,2296.89,95.17,167.46,374.41,671.9,167.46
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3681.0,2780.66,78.16,158.38,402.65,749.99,158.38
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,4537.0,2235.43,90.14,156.26,401.33,750.05,156.26
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,4086.0,43135.39,91.76,171.43,407.41,740.84,171.43
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,4073.0,13970.91,93.71,171.22,440.06,1008.29,171.22
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,4199.0,23342.57,95.95,156.28,374.81,671.48,156.28
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,2549.0,1580.79,140.05,174.24,437.56,830.82,174.24
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3869.0,19259.09,124.89,201.73,577.51,1155.43,201.73
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,2924.0,19058.58,109.17,171.87,457.04,905.58,171.87
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,2913.0,21124.01,140.3,172.0,437.52,765.6,172.0
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,2224.0,5596.27,60.52,145.66,422.3,765.59,145.66
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3901.0,13709.94,78.12,156.34,452.96,814.31,156.34
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3951.0,21912.51,94.63,168.56,440.96,719.27,168.56
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3380.0,1906.24,122.92,178.4,453.12,766.27,178.4
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,2756.0,2780.04,62.55,156.24,406.24,797.42,156.24
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3142.0,20900.56,79.64,156.26,416.48,749.99,156.26
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3991.0,2786.44,135.69,156.34,437.48,749.08,156.34
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,4181.0,1842.6,107.37,158.2,421.87,778.36,158.2
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3991.0,10724.61,93.79,158.24,438.53,950.74,158.24
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3276.0,19265.58,78.0,154.97,390.41,981.47,154.97
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,3918.0,17669.08,109.13,156.25,437.49,718.76,156.25
