startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,30.0,140.65,16.16,125.02,140.63,140.65,125.02
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,41.0,437.52,31.26,125.0,171.89,437.52,125.0
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,30.0,171.87,15.63,30.66,140.61,171.87,30.66
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,21.0,142.48,31.22,125.0,140.62,142.48,125.0
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,27.0,437.5,124.99,129.58,250.0,437.5,129.58
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,36.0,437.49,124.98,125.01,156.26,437.49,125.01
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,26.0,421.86,15.62,125.01,187.5,421.86,125.01
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,7.0,140.65,31.24,124.99,140.65,140.65,124.99
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,16.0,302.84,15.64,125.0,302.84,302.84,125.0
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,16.0,140.62,19.42,124.99,140.62,140.62,124.99
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,15.0,156.24,124.99,140.62,156.24,156.24,140.62
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,17.0,125.03,15.65,31.25,125.03,125.03,31.25
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,21.0,156.21,15.65,46.86,125.02,156.21,46.86
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,34.0,156.24,31.29,125.01,140.66,156.24,125.01
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,87.0,187.5,15.67,125.0,140.62,187.5,125.0
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,142.0,250.0,16.79,125.0,140.68,203.11,125.0
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,179.0,438.32,15.65,62.5,140.63,437.5,62.5
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,129.0,171.87,15.64,31.3,125.46,171.54,31.3
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,141.0,1078.1,31.23,125.0,187.54,429.55,125.0
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,130.0,734.4,29.27,125.0,140.63,421.84,125.0
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,97.0,437.51,31.22,125.01,140.71,437.51,125.01
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,139.0,1078.15,16.39,125.0,155.98,359.36,125.0
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,130.0,436.94,31.24,125.0,156.25,421.82,125.0
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,73.0,437.54,34.89,125.0,250.0,437.54,125.0
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,96.0,437.51,46.86,125.0,328.12,437.51,125.0
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,88.0,515.62,31.23,125.0,140.63,515.62,125.0
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,137.0,437.5,19.16,125.0,140.63,328.11,125.0
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,157.0,218.74,18.82,125.0,140.64,203.13,125.0
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,126.0,437.5,31.22,125.0,140.62,437.49,125.0
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,117.0,171.11,31.21,125.0,140.64,157.61,125.0
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,105.0,437.85,29.87,125.0,436.76,437.49,125.0
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,57.0,171.88,17.14,75.76,138.79,171.88,75.76
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,45.0,421.87,16.14,93.78,140.63,421.87,93.78
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,47.0,187.61,31.26,125.0,140.63,187.61,125.0
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentDataFreshnessV2,58.0,140.66,15.65,32.05,140.64,140.66,32.05
