startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,26.0,484.37,19.83,140.59,156.28,484.37,140.59
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,39.0,437.54,15.65,125.0,428.37,437.54,125.0
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,24.0,203.12,15.63,78.11,187.5,203.12,78.11
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,22.0,421.46,46.88,125.04,218.9,421.46,125.04
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,40.0,441.66,93.75,127.94,343.78,441.66,127.94
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,31.0,380.34,124.99,139.77,312.56,380.34,139.77
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,24.0,359.38,124.95,125.01,140.64,359.38,125.01
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,8.0,140.62,125.0,125.0,140.62,140.62,125.0
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,24.0,174.75,26.33,125.0,140.61,174.75,125.0
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,18.0,140.62,15.65,125.01,140.62,140.62,125.01
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,19.0,390.61,124.99,140.64,390.61,390.61,140.64
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,9.0,124.97,15.63,15.97,124.97,124.97,15.97
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,17.0,316.48,15.7,124.97,316.48,316.48,124.97
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,38.0,218.67,31.25,124.98,156.67,218.67,124.98
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,63.0,151.97,17.87,125.0,140.62,151.97,125.0
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BusinessReportingAttainmentSummaryV1,143.0,431.49,15.65,93.63,156.26,249.98,93.63
