startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,3613.0,3297.45,78.15,152.13,361.08,780.37,152.13
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,3358.0,5674.54,66.08,118.7,265.23,421.42,118.7
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,3358.0,16601.68,62.56,109.37,234.6,363.64,109.37
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,3325.0,2781.9,78.1,125.1,309.93,532.32,125.1
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,3216.0,37266.08,78.15,124.5,296.86,529.03,124.5
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2977.0,1859.05,62.53,109.38,263.26,577.96,109.38
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2734.0,2703.13,64.22,125.0,312.54,609.19,125.0
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2079.0,15782.72,93.78,156.54,377.75,750.02,156.54
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2444.0,13428.58,93.39,139.01,265.46,468.75,139.01
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2292.0,4343.84,78.12,140.58,306.45,574.55,140.58
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2512.0,13906.65,77.38,125.0,281.27,534.84,125.0
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2763.0,5062.48,63.91,109.84,250.02,543.83,109.84
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,3155.0,5241.3,78.13,140.74,311.85,578.13,140.74
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2901.0,5867.6,78.16,152.24,303.76,561.39,152.24
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,3316.0,4890.74,78.13,140.63,296.9,531.24,140.63
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,2853.0,8865.0,78.13,140.09,281.37,516.89,140.09
