startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,35.0,187.5,15.64,125.01,156.23,187.5,125.01
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,37.0,421.86,29.97,124.99,417.62,421.86,124.99
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,52.0,437.49,109.4,125.01,140.64,437.49,125.01
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,55.0,421.9,124.99,125.01,390.66,421.9,125.01
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,39.0,437.51,31.22,125.04,237.6,437.51,125.04
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,26.0,125.04,17.4,124.99,125.01,125.04,124.99
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,21.0,235.72,18.45,124.98,203.12,235.72,124.98
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,41.0,437.49,62.48,125.0,140.62,437.49,125.0
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,33.0,140.61,15.64,19.59,125.13,140.61,19.59
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,34.0,468.78,124.98,125.03,421.88,468.78,125.03
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,52.0,421.93,31.22,125.0,140.64,421.93,125.0
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,21.0,31.26,15.64,15.65,19.83,31.26,15.65
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,55.0,424.47,31.25,125.0,156.45,424.47,125.0
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,81.0,431.04,32.27,125.02,156.25,431.04,125.02
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,50.0,437.5,16.34,125.0,406.29,437.5,125.0
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,45.0,421.87,16.06,124.99,140.63,421.87,124.99
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,42.0,422.62,48.49,125.0,156.25,422.62,125.0
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,82.0,640.57,124.22,125.01,187.51,640.57,125.01
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,70.0,437.5,19.58,125.01,250.02,437.5,125.01
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,49.0,437.5,124.99,125.02,234.0,437.5,125.02
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,53.0,234.39,16.95,124.99,171.91,234.39,124.99
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,36.0,437.48,31.25,125.0,156.27,437.48,125.0
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,68.0,421.91,32.92,125.0,156.25,421.91,125.0
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,73.0,1015.61,124.99,125.01,413.52,1015.61,125.01
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,63.0,437.76,31.26,125.0,187.52,437.76,125.0
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,65.0,421.88,15.66,125.0,140.62,421.88,125.0
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,90.0,328.15,15.65,124.99,140.62,328.15,124.99
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,105.0,254.95,124.22,125.0,155.94,234.35,125.0
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,95.0,421.91,32.65,125.0,140.63,421.91,125.0
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,76.0,406.25,124.96,125.0,140.62,406.25,125.0
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,68.0,765.62,109.24,125.0,421.88,765.62,125.0
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,56.0,156.24,15.66,125.0,140.62,156.24,125.0
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,60.0,421.88,30.03,125.01,419.15,421.88,125.01
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,55.0,234.38,124.99,125.0,140.62,234.38,125.0
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,60.0,234.38,109.38,125.0,140.69,234.38,125.0
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateAdhocOpportunities,51.0,421.87,15.65,124.97,140.62,421.87,124.97
