startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,76.0,250.01,31.24,31.27,93.75,250.01,31.27
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,69.0,125.0,31.25,31.27,78.15,125.0,31.27
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,161.0,2079.91,31.23,31.25,93.78,1280.94,31.25
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,94.0,375.0,31.24,31.26,64.68,375.0,31.26
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,86.0,93.77,31.22,31.25,78.13,93.77,31.25
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,33.0,62.5,31.25,31.26,47.72,62.5,31.26
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,67.0,515.61,31.24,31.26,153.06,515.61,31.26
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,46.0,1704.24,31.24,31.27,78.26,1704.24,31.27
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,73.0,109.35,31.23,31.25,62.5,109.35,31.25
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,67.0,91.94,31.24,31.26,46.84,91.94,31.26
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,68.0,78.12,31.24,31.26,46.88,78.12,31.26
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,57.0,78.15,31.24,31.26,31.29,78.15,31.26
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,120.0,280.26,31.25,31.27,124.8,250.0,31.27
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,102.0,187.49,31.25,31.26,46.88,93.75,31.26
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,56.0,78.12,31.23,31.25,62.51,78.12,31.25
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,70.0,93.65,31.24,31.26,62.5,93.65,31.26
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,55.0,312.47,31.24,31.26,156.31,312.47,31.26
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,1518.0,1748.81,31.24,31.27,78.12,126.79,31.27
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,105.0,93.76,31.24,31.26,62.5,78.16,31.26
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,110.0,3234.05,31.24,31.28,93.75,156.21,31.28
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,93.0,250.03,31.25,31.27,62.47,250.03,31.27
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,92.0,203.78,31.24,31.27,78.16,203.78,31.27
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,71.0,235.21,31.25,31.27,78.12,235.21,31.27
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,56.0,93.73,31.24,31.27,46.88,93.73,31.27
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,45.0,93.74,31.24,31.26,46.85,93.74,31.26
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,65.0,156.25,31.23,31.27,78.15,156.25,31.27
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,77.0,281.28,31.27,46.9,156.25,281.28,46.9
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,72.0,203.1,31.24,31.26,32.82,203.1,31.26
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,84.0,93.75,31.24,31.25,34.56,93.75,31.25
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,63.0,125.0,31.23,31.25,46.86,125.0,31.25
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,46.0,140.67,31.24,31.27,78.14,140.67,31.27
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,30.0,32.3,15.64,31.24,31.27,32.3,31.24
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,66.0,78.14,31.25,31.27,46.88,78.14,31.27
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,60.0,249.99,31.24,31.26,78.11,249.99,31.26
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,99.0,156.48,31.24,31.26,80.32,156.48,31.26
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,48.0,58.85,31.24,31.26,36.94,58.85,31.26
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,76.0,125.03,31.24,31.26,93.72,125.03,31.26
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,105.0,359.38,31.25,31.27,78.17,140.63,31.27
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,67.0,46.87,31.23,31.26,31.29,46.87,31.26
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,55.0,187.47,31.22,31.26,62.52,187.47,31.26
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,30.0,249.99,31.22,31.27,78.15,249.99,31.27
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,51.0,78.12,31.22,31.26,48.9,78.12,31.26
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,97.0,236.53,31.24,31.26,78.15,236.53,31.26
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,141.0,109.4,31.21,31.25,31.81,66.45,31.25
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CreateFile,136.0,304.74,15.63,17.94,31.32,171.87,17.94
