startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,11991.0,2156.24,31.3,140.62,172.72,453.08,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,12755.0,18148.12,35.77,140.62,171.11,446.54,140.62
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,12482.0,5828.09,31.29,140.62,171.87,453.04,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,13736.0,19348.77,31.29,140.62,159.37,446.37,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,11604.0,10901.76,31.28,140.63,187.5,453.09,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,10101.0,12278.04,31.28,140.62,171.87,453.11,140.62
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,13027.0,3608.62,31.28,140.62,166.21,437.52,140.62
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,8901.0,3046.87,49.33,140.63,187.49,453.12,140.63
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,11311.0,21431.34,31.29,140.62,171.85,452.96,140.62
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,10255.0,19268.64,31.28,140.61,159.92,452.13,140.61
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerDetails,8971.0,6546.51,31.28,140.62,170.16,442.81,140.62
