startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,19.0,453.18,125.0,140.62,453.18,453.18,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,83.0,437.48,31.25,125.0,140.67,437.48,125.0
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,124.0,437.53,31.23,125.0,140.65,437.48,125.0
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,202.0,443.67,31.26,125.01,140.65,237.05,125.01
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,132.0,437.52,31.26,140.62,218.74,437.51,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,110.0,328.12,29.68,125.0,140.64,250.1,125.0
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,89.0,453.12,31.24,125.05,308.86,453.12,125.05
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,55.0,437.5,125.0,140.61,147.46,437.5,140.61
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,105.0,437.51,15.66,125.02,140.65,171.87,125.02
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,122.0,437.48,31.28,140.62,156.28,264.12,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,81.0,375.03,31.21,125.01,141.74,375.03,125.01
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,33.0,437.17,29.51,31.28,140.64,437.17,31.28
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,64.0,444.38,125.0,140.61,156.25,444.38,140.61
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CustomerFileDetails,59.0,453.15,125.02,140.63,187.49,453.15,140.63
