startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,51765.0,23071.24,125.0,172.23,421.88,640.61,172.23
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,56430.0,24305.44,124.99,156.29,420.98,625.18,156.29
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,59881.0,300011.13,125.0,171.78,422.19,656.64,171.78
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,57828.0,21752.27,125.0,171.56,421.87,650.62,171.56
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,56578.0,21603.15,125.0,187.45,437.51,671.9,187.45
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,47237.0,21682.81,125.0,181.65,420.24,586.38,181.65
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,55532.0,19381.43,125.0,159.4,421.88,656.27,159.4
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,37252.0,23095.38,125.16,187.52,422.25,656.27,187.52
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,53639.0,62114.45,125.0,171.77,421.88,640.7,171.77
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,51521.0,44269.76,125.0,170.21,408.15,564.11,170.21
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,44289.0,22421.77,124.99,157.05,402.61,536.98,157.05
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,34653.0,19277.84,108.91,157.42,374.99,531.39,157.42
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,56746.0,21333.7,124.98,156.22,402.79,546.61,156.22
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,58532.0,69064.04,124.99,156.32,406.24,531.21,156.32
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,64411.0,21675.39,125.0,171.11,390.48,531.24,171.11
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,56454.0,21685.53,124.87,161.32,406.96,593.77,161.32
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,68890.0,23754.36,124.99,170.54,421.31,608.83,170.54
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,74707.0,19263.61,124.97,156.25,406.19,557.82,156.25
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,69154.0,21677.94,125.0,171.87,421.87,681.0,171.87
