startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,71.0,408.32,15.65,125.0,140.62,408.32,125.0
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,69.0,437.1,15.65,125.0,187.53,437.1,125.0
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,46.0,454.05,124.97,125.02,421.88,454.05,125.02
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,88.0,434.38,16.75,125.01,187.52,434.38,125.01
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,52.0,421.91,62.53,125.01,234.4,421.91,125.01
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,44.0,437.51,15.68,46.89,126.57,437.51,46.89
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,72.0,437.53,17.16,125.0,140.63,437.53,125.0
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,43.0,453.11,124.04,125.03,421.88,453.11,125.03
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,42.0,437.48,19.89,125.0,156.24,437.48,125.0
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,45.0,429.85,15.92,124.96,203.41,429.85,124.96
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,31.0,234.31,15.66,47.32,156.19,234.31,47.32
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,17.0,140.62,16.59,93.73,140.62,140.62,93.73
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,49.0,406.26,16.59,125.0,140.65,406.26,125.0
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,57.0,234.52,15.67,124.91,126.57,234.52,124.91
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,38.0,125.55,15.66,19.79,125.22,125.55,19.79
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,36.0,437.51,58.28,125.0,437.5,437.51,125.0
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,67.0,412.21,18.19,125.0,156.07,412.21,125.0
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,87.0,437.5,93.77,125.01,158.96,437.5,125.01
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,69.0,222.6,16.23,125.0,140.62,222.6,125.0
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,88.0,404.97,15.65,124.95,125.05,404.97,124.95
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,71.0,828.12,15.65,125.0,437.48,828.12,125.0
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,75.0,437.49,15.64,78.12,156.25,437.49,78.12
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,43.0,431.24,46.87,125.0,156.26,431.24,125.0
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,48.0,439.64,124.12,125.0,203.12,439.64,125.0
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,36.0,171.87,15.82,125.0,156.72,171.87,125.0
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,44.0,437.48,15.66,124.99,421.87,437.48,124.99
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,56.0,421.85,19.62,124.99,140.6,421.85,124.99
