startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5119.0,18947.03,31.25,31.27,78.13,187.5,31.27
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5126.0,4972.07,31.25,31.27,78.11,158.1,31.27
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,7835.0,8583.52,31.24,31.26,62.81,187.49,31.26
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5625.0,6470.24,31.25,31.27,78.13,190.93,31.27
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,6279.0,6296.79,31.24,31.26,78.12,187.5,31.26
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,20883.0,8437.8,31.25,31.26,62.49,218.28,31.26
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,6261.0,11148.89,31.24,31.26,78.12,250.0,31.26
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,4066.0,22150.54,31.24,31.26,78.11,170.59,31.26
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5371.0,3397.98,31.24,31.26,78.11,140.61,31.26
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5223.0,34172.34,31.25,31.26,78.12,140.63,31.26
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,4855.0,18984.37,31.24,31.26,78.11,177.34,31.26
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,3701.0,72011.61,31.25,31.27,78.13,171.9,31.27
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5865.0,77253.01,31.25,31.27,78.13,249.98,31.27
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5804.0,972.05,31.25,31.27,78.12,171.87,31.27
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5592.0,1764.9,31.24,31.26,78.1,140.63,31.26
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,4973.0,3544.57,31.25,31.27,78.13,187.46,31.27
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5261.0,21723.83,31.25,31.27,78.13,195.32,31.27
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5996.0,15172.06,31.24,31.26,78.12,206.53,31.26
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5729.0,210836.71,31.25,31.27,78.12,236.02,31.27
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5778.0,4987.96,31.24,31.26,78.12,175.15,31.26
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5120.0,7513.35,31.25,31.27,78.15,265.54,31.27
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,4968.0,154970.1,31.24,31.27,78.12,250.0,31.27
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,13244.0,14232.12,31.25,31.27,62.52,183.14,31.27
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EmailMessageCache,5833.0,8763.57,31.24,31.27,78.14,250.04,31.27
