startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,399.0,531.08,140.61,140.63,171.88,421.88,140.63
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,332.0,453.12,140.55,140.63,156.26,437.5,140.63
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,520.0,453.09,140.59,140.63,156.26,437.49,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,202.0,531.26,140.61,140.64,203.12,437.52,140.64
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,462.0,578.12,140.64,171.83,203.12,468.74,171.83
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,150.0,437.51,125.0,140.62,156.22,187.5,140.62
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,649.0,687.47,140.59,140.63,171.87,437.49,140.63
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,388.0,453.1,140.61,140.63,171.86,437.52,140.63
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,321.0,437.52,140.6,140.63,171.87,437.42,140.63
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,295.0,3108.91,140.61,140.64,187.49,437.68,140.64
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,189.0,441.2,140.5,140.64,171.71,437.63,140.64
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,54.0,612.19,15.67,31.25,156.25,612.19,31.25
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,449.0,671.93,140.59,140.63,171.9,453.11,140.63
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,394.0,640.62,140.61,140.63,187.47,437.53,140.63
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,498.0,1484.25,124.99,140.62,155.75,437.55,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,296.0,531.83,125.04,140.63,144.9,421.79,140.63
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,492.0,437.51,140.62,140.63,156.26,359.37,140.63
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,439.0,531.24,136.83,140.63,171.86,437.51,140.63
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,186.0,482.97,125.0,140.62,172.1,437.49,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,284.0,531.25,125.04,140.63,172.36,452.78,140.63
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,271.0,437.5,124.99,140.62,156.25,203.16,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/EngagementHistoryV2,652.0,3137.59,125.01,140.62,156.28,437.51,140.62
