startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,76.0,218.76,31.23,31.26,93.74,218.76,31.26
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,70.0,250.03,31.25,31.27,171.87,250.03,31.27
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,166.0,426.11,31.23,31.25,78.12,250.03,31.25
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,93.0,109.4,31.24,31.25,46.88,109.4,31.25
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,87.0,218.77,31.24,31.25,46.87,218.77,31.25
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,32.0,250.03,31.25,31.27,125.02,250.03,31.27
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,68.0,140.66,31.24,31.25,62.55,140.66,31.25
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,47.0,140.62,31.25,31.26,48.96,140.62,31.26
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,73.0,140.65,31.23,31.25,46.88,140.65,31.25
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,66.0,125.03,31.24,31.26,78.49,125.03,31.26
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,68.0,93.74,31.22,31.26,50.22,93.74,31.26
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,57.0,93.74,31.25,31.27,78.13,93.74,31.27
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,121.0,952.7,31.24,31.27,46.89,778.04,31.27
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,105.0,109.37,31.25,31.27,49.61,93.77,31.27
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,56.0,234.37,31.24,31.28,62.53,234.37,31.28
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FileTypes,71.0,156.25,31.24,31.27,62.5,156.25,31.27
