startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,17.0,531.25,203.14,234.38,531.25,531.25,234.38
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,13.0,265.65,93.72,109.38,265.65,265.65,109.38
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,12.0,285.67,140.62,250.0,285.67,285.67,250.0
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,18.0,343.78,109.39,218.76,343.78,343.78,218.76
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,19.0,265.61,82.47,125.04,265.61,265.61,125.04
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,17.0,234.37,107.79,218.76,234.37,234.37,218.76
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,18.0,296.87,112.97,203.07,296.87,296.87,203.07
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,12.0,234.37,93.74,203.13,234.37,234.37,203.13
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,21.0,218.75,124.99,203.16,218.74,218.75,203.16
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,20.0,296.89,93.71,93.8,233.86,296.89,93.8
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,10.0,250.0,125.0,218.75,250.0,250.0,218.75
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,9.0,234.38,107.16,203.13,234.38,234.38,203.13
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,10.0,234.39,78.17,98.35,234.39,234.39,98.35
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,19.0,234.38,93.6,187.5,234.38,234.38,187.5
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,23.0,531.29,109.41,203.12,250.01,531.29,203.12
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,29.0,234.37,46.86,93.76,187.49,234.37,93.76
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,24.0,281.25,140.62,203.13,241.17,281.25,203.13
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,24.0,531.25,93.75,187.51,234.38,531.25,187.51
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,18.0,234.39,125.01,187.51,234.39,234.39,187.51
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,17.0,234.37,91.71,93.76,234.37,234.37,93.76
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,17.0,234.36,109.13,140.64,234.36,234.36,140.64
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,22.0,325.62,93.84,203.13,234.37,325.62,203.13
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,25.0,498.96,156.28,234.37,281.29,498.96,234.37
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,18.0,250.01,124.97,140.62,250.01,250.01,140.62
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,16.0,234.41,108.09,203.11,234.41,234.41,203.11
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,25.0,343.75,93.64,218.75,234.38,343.75,218.75
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,20.0,531.23,93.75,140.62,500.0,531.23,140.62
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,23.0,234.39,140.63,187.51,234.37,234.39,187.51
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,20.0,374.99,141.06,187.51,296.87,374.99,187.51
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,24.0,281.25,91.66,125.02,203.12,281.25,125.02
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,15.0,525.49,93.76,218.75,525.49,525.49,218.75
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,21.0,249.99,129.31,188.95,218.74,249.99,188.95
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,27.0,296.65,140.62,218.74,250.0,296.65,218.74
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,27.0,296.89,93.76,161.48,234.37,296.89,161.48
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,38.0,609.36,79.24,140.64,554.74,609.36,140.64
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,19.0,203.13,78.13,93.77,203.13,203.13,93.77
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,10.0,250.0,140.63,203.13,250.0,250.0,203.13
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,13.0,593.74,93.76,109.34,593.74,593.74,109.34
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,18.0,484.37,108.32,218.74,484.37,484.37,218.74
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,14.0,328.12,94.9,218.73,328.12,328.12,218.73
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,10.0,250.0,93.79,124.95,250.0,250.0,124.95
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,25.0,578.13,148.08,218.75,265.62,578.13,218.75
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,26.0,343.9,125.03,203.06,328.11,343.9,203.06
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,26.0,443.19,109.41,226.52,250.0,443.19,226.52
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,16.0,312.54,109.34,203.11,312.54,312.54,203.11
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,29.0,492.16,120.57,171.9,249.99,492.16,171.9
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,20.0,234.77,109.41,187.46,234.38,234.77,187.46
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,34.0,707.79,140.61,171.91,515.62,707.79,171.91
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,22.0,1515.55,93.77,203.13,312.48,1515.55,203.13
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,26.0,265.63,109.33,203.11,249.99,265.63,203.11
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,20.0,234.37,93.78,156.24,218.74,234.37,156.24
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,11.0,343.74,109.38,203.13,343.74,343.74,203.13
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,14.0,218.76,124.97,203.12,218.76,218.76,203.12
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,13.0,390.6,140.59,203.12,390.6,390.6,203.12
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,32.0,421.86,62.49,125.0,218.74,421.86,125.0
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,16.0,249.96,78.14,124.97,249.96,249.96,124.97
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,9.0,468.74,155.92,203.11,468.74,468.74,203.11
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,10.0,421.87,107.77,203.12,421.87,421.87,203.12
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,23.0,656.09,140.58,203.14,656.09,656.09,203.14
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,10.0,968.75,234.36,343.74,968.75,968.75,343.74
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,26.0,218.75,46.95,109.34,169.06,218.75,109.34
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,12.0,234.36,109.36,203.11,234.36,234.36,203.11
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,14.0,203.12,93.75,109.43,203.12,203.12,109.43
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,18.0,218.76,93.77,203.12,218.76,218.76,203.12
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,12.0,277.16,78.11,93.77,277.16,277.16,93.77
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,11.0,281.24,93.73,187.5,281.24,281.24,187.5
2018-05-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,14.0,5208.0,93.74,140.58,5208.0,5208.0,140.58
2018-05-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,21.0,203.29,78.13,93.81,203.14,203.29,93.81
2018-05-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,14.0,234.37,93.76,109.43,234.37,234.37,109.43
2018-05-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,9.0,234.36,113.29,200.94,234.36,234.36,200.94
2018-05-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,16.0,484.36,130.51,218.75,484.36,484.36,218.75
2018-05-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,23.0,250.05,109.39,203.16,234.49,250.05,203.16
2018-05-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,15.0,234.35,113.43,218.7,234.35,234.35,218.7
2018-05-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,21.0,234.37,156.27,203.14,232.54,234.37,203.14
2018-05-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,14.0,234.41,109.37,190.09,234.41,234.41,190.09
2018-05-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountBillingInfo,15.0,312.52,202.04,218.81,312.52,312.52,218.81
