startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,63.0,437.49,15.65,124.98,140.63,437.49,124.98
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,60.0,437.48,31.27,125.01,141.15,437.48,125.01
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,118.0,437.55,125.0,125.03,147.69,437.52,125.03
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,93.0,453.12,46.88,125.02,156.25,453.12,125.02
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,82.0,4907.19,18.52,125.01,144.65,4907.19,125.01
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,82.0,437.49,31.21,125.01,156.25,437.49,125.01
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,89.0,234.4,15.69,125.0,140.65,234.4,125.0
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,77.0,440.88,15.65,125.0,140.63,440.88,125.0
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,105.0,453.11,15.66,125.0,140.63,437.51,125.0
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,120.0,453.08,31.25,125.0,140.63,437.49,125.0
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,113.0,1060.86,16.13,125.0,234.35,441.06,125.0
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,52.0,437.77,15.64,124.99,437.5,437.77,124.99
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,115.0,438.03,15.67,125.02,187.46,437.54,125.02
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,86.0,437.52,16.87,125.01,140.62,437.52,125.01
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,86.0,437.44,18.6,125.0,140.62,437.44,125.0
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,52.0,437.52,15.63,125.0,140.63,437.52,125.0
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,87.0,437.52,78.14,125.02,171.87,437.52,125.02
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,99.0,437.49,15.66,125.0,140.62,437.49,125.0
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,121.0,431.07,29.99,125.02,156.26,374.93,125.02
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetAccountIdByAccountNumber,108.0,453.11,29.59,125.01,203.13,437.49,125.01
