startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,212.0,436.26,121.08,125.01,171.87,392.11,125.01
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,116.0,562.52,62.5,125.01,156.25,421.87,125.01
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,121.0,437.48,109.38,125.0,140.64,421.91,125.0
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,154.0,1500.02,19.05,125.01,156.24,437.51,125.01
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,234.0,428.16,30.86,125.03,185.87,421.92,125.03
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,223.0,453.11,31.22,125.0,187.28,437.49,125.0
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,113.0,437.49,125.0,125.04,296.91,422.74,125.04
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,105.0,437.49,125.0,125.03,156.28,437.48,125.03
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,131.0,218.74,30.46,125.0,141.68,204.13,125.0
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,129.0,531.08,124.98,125.01,171.86,437.52,125.01
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,142.0,437.47,15.69,125.0,140.64,422.0,125.0
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,60.0,438.29,15.67,78.1,250.0,438.29,78.1
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,138.0,593.79,19.44,125.0,234.39,471.0,125.0
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,211.0,437.45,62.5,125.0,156.26,421.88,125.0
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,166.0,468.74,15.72,125.0,156.25,453.16,125.0
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,125.0,437.53,124.67,125.01,140.64,421.89,125.01
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,158.0,422.11,17.83,125.0,156.17,421.89,125.0
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,182.0,815.22,15.65,124.99,156.23,437.5,124.99
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,211.0,453.1,54.69,125.0,156.0,421.88,125.0
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,190.0,468.71,125.0,125.02,203.95,455.66,125.02
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,119.0,468.73,124.96,125.01,328.15,453.12,125.01
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,89.0,437.5,31.23,125.0,140.63,437.5,125.0
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,205.0,484.42,124.99,125.01,171.87,437.5,125.01
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,111.0,437.49,125.0,125.02,203.13,421.89,125.02
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,102.0,437.5,31.14,125.0,140.62,234.33,125.0
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,94.0,421.87,31.25,125.0,141.28,421.87,125.0
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,151.0,281.18,15.7,124.99,140.61,171.62,124.99
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,188.0,422.54,15.65,125.0,141.78,421.86,125.0
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,129.0,437.48,46.86,125.01,250.0,406.28,125.01
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,120.0,1784.49,78.1,125.0,156.25,416.7,125.0
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,170.0,531.3,15.65,124.99,141.05,406.23,124.99
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,130.0,421.88,15.64,124.5,140.64,421.87,124.5
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,97.0,437.49,15.66,34.57,140.61,437.49,34.57
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,102.0,424.28,15.73,125.0,140.62,421.88,125.0
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,170.0,437.49,15.65,31.24,125.01,437.02,31.24
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,88.0,437.51,15.66,125.0,140.63,437.51,125.0
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,185.0,421.88,15.67,124.99,140.63,407.82,124.99
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,190.0,437.5,15.67,124.99,140.65,421.87,124.99
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,221.0,749.97,124.98,125.01,202.84,437.08,125.01
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,231.0,484.38,124.83,125.01,156.24,436.59,125.01
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,176.0,624.99,124.81,125.0,140.64,437.16,125.0
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,130.0,7038.85,125.0,125.03,187.5,3702.25,125.03
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,130.0,11234.24,124.68,125.01,140.65,984.43,125.01
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,214.0,421.47,15.73,125.0,132.08,156.25,125.0
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,183.0,140.63,15.67,125.0,128.12,140.63,125.0
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetClientCenterUserToken,149.0,172.51,15.66,124.99,128.52,171.86,124.99
