startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1252.0,3486.88,46.89,140.63,238.74,456.47,140.63
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1389.0,24011.83,46.87,140.62,218.79,470.68,140.62
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1623.0,2030.62,46.9,140.64,325.47,501.23,140.64
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1424.0,718.75,46.85,140.62,218.76,453.12,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1260.0,1562.55,46.86,140.63,250.05,468.82,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1229.0,1722.69,47.26,140.64,343.7,578.14,140.64
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1252.0,1812.55,46.89,140.64,250.02,468.83,140.64
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,709.0,796.87,76.09,140.66,296.87,500.0,140.66
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1150.0,12577.01,47.43,140.64,346.1,609.97,140.64
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,901.0,18997.39,46.91,140.64,343.75,468.74,140.64
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,825.0,734.91,78.13,140.64,234.45,484.36,140.64
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,701.0,578.12,46.87,140.62,249.99,468.73,140.62
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1179.0,5214.42,46.87,140.63,281.31,535.56,140.63
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1162.0,2505.77,64.26,140.65,281.24,453.12,140.65
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1057.0,1819.98,46.9,140.64,343.74,534.33,140.64
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,869.0,796.83,46.62,140.63,250.0,480.58,140.63
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,898.0,906.22,46.89,140.64,250.03,484.36,140.64
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1318.0,1001.92,62.53,140.63,250.0,453.13,140.63
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1304.0,18575.26,46.92,140.65,281.22,750.02,140.65
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1126.0,1171.84,43.24,140.62,218.76,482.35,140.62
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1078.0,10952.96,46.2,140.62,218.75,468.77,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1108.0,1002.42,61.09,140.63,340.53,515.62,140.63
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1132.0,1437.49,139.09,140.65,343.75,531.24,140.65
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,607.0,2360.08,78.11,140.63,359.35,468.72,140.63
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1032.0,687.49,95.31,140.67,343.75,453.18,140.67
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,576.0,19267.82,124.24,150.19,437.18,506.99,150.19
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1205.0,6969.86,78.1,156.25,297.42,625.13,156.25
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1080.0,1171.84,64.19,140.63,359.35,678.35,140.63
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,918.0,2453.67,34.44,140.62,187.61,562.5,140.62
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,797.0,765.75,62.62,140.63,359.38,656.24,140.63
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,765.0,1360.84,46.91,140.63,250.49,453.02,140.63
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,680.0,656.19,46.83,139.43,187.5,437.5,139.43
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,622.0,1250.01,46.86,140.54,328.1,531.67,140.54
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,599.0,703.12,77.77,140.63,321.94,527.9,140.63
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,670.0,765.92,46.95,140.63,253.37,484.39,140.63
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,853.0,1062.48,48.72,140.63,281.24,500.0,140.63
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1132.0,1016.24,46.86,140.62,218.76,507.85,140.62
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1088.0,6412.73,46.87,140.61,187.54,437.54,140.61
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1138.0,703.13,59.86,140.62,203.09,437.59,140.62
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1042.0,1343.73,47.0,140.62,203.14,441.5,140.62
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,517.0,796.87,140.61,140.66,328.11,578.1,140.66
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,827.0,5781.2,48.72,140.62,203.43,453.1,140.62
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1182.0,1593.7,46.87,140.62,241.5,531.25,140.62
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1026.0,1015.6,34.59,140.62,187.49,470.48,140.62
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1016.0,1421.83,33.67,140.36,171.88,468.75,140.36
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1084.0,1204.4,31.34,125.02,156.25,437.52,125.02
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1164.0,902.49,78.14,140.66,218.79,484.38,140.66
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1224.0,11078.6,48.53,140.63,303.97,578.12,140.63
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1125.0,999.99,78.19,140.63,172.12,468.76,140.63
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,909.0,1320.9,46.93,140.62,187.51,484.11,140.62
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,832.0,1577.88,35.22,140.62,171.87,515.61,140.62
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1169.0,4294.41,60.06,140.63,187.5,656.23,140.63
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1170.0,812.51,49.18,140.63,328.12,562.85,140.63
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1292.0,1578.13,62.49,140.62,250.0,622.59,140.62
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1033.0,1420.04,62.48,140.62,249.76,593.73,140.62
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,942.0,2531.39,34.7,140.62,312.5,656.26,140.62
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1040.0,4328.78,48.32,140.62,328.12,624.0,140.62
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1204.0,11710.81,46.91,140.62,156.27,542.86,140.62
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1266.0,1328.08,46.9,140.62,422.2,640.38,140.62
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,858.0,7250.05,156.25,171.88,328.12,779.61,171.88
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1081.0,4562.79,140.62,141.1,312.45,562.48,141.1
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1220.0,2128.31,46.88,140.62,218.75,501.59,140.62
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,774.0,909.18,43.35,140.62,205.3,531.21,140.62
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1413.0,1359.33,46.68,140.62,187.51,546.87,140.62
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1397.0,1939.47,62.08,144.13,272.74,640.61,144.13
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1334.0,1312.52,48.3,141.01,234.37,625.0,141.01
2018-05-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1301.0,23465.35,46.88,140.63,213.64,562.49,140.63
2018-05-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1486.0,5486.09,31.73,140.54,171.85,591.66,140.54
2018-05-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1338.0,242925.12,46.87,140.62,257.81,687.02,140.62
2018-05-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1189.0,87421.87,102.96,140.64,468.85,10184.5,140.64
2018-05-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1278.0,3293.22,31.29,68.83,242.99,610.36,68.83
2018-05-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1568.0,1750.07,46.88,140.63,218.75,531.26,140.63
2018-05-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1393.0,1234.41,33.69,139.97,312.49,750.0,139.97
2018-05-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1104.0,1390.56,31.75,140.6,219.99,721.39,140.6
2018-05-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1120.0,892.14,46.86,140.61,207.19,649.59,140.61
2018-05-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,821.0,14574.11,31.54,140.63,281.3,718.76,140.63
2018-05-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1353.0,3754.8,124.99,140.64,187.51,656.27,140.64
2018-05-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1396.0,3631.06,46.87,140.63,185.14,563.67,140.63
2018-05-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1288.0,1260.41,44.36,140.62,187.5,718.76,140.62
2018-05-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1181.0,1015.65,49.43,140.63,187.48,763.62,140.63
2018-05-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,822.0,2296.86,31.28,140.58,156.32,439.71,140.58
2018-05-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,877.0,1890.54,46.89,140.63,203.09,796.87,140.63
2018-05-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1449.0,1140.91,46.67,140.62,171.87,672.11,140.62
2018-05-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1235.0,1041.09,124.98,140.64,186.93,565.78,140.64
2018-05-31,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1074.0,9008.97,124.1,140.63,187.49,718.75,140.63
2018-06-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,749.0,19275.31,46.92,140.63,203.12,500.02,140.63
2018-06-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1355.0,640.6,31.78,140.6,186.52,484.38,140.6
2018-06-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1144.0,1653.13,36.46,140.62,295.63,750.03,140.62
2018-06-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1261.0,1078.09,49.86,140.63,248.09,796.88,140.63
2018-06-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetLabelAssociatedAllAccountsDetailExposure,1291.0,1489.83,46.86,140.63,250.23,562.48,140.63
