startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,39.0,187.51,15.66,125.0,140.65,187.51,125.0
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,30.0,187.45,31.28,125.01,140.62,187.45,125.01
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,28.0,140.62,124.99,125.0,140.62,140.62,125.0
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,28.0,140.05,15.67,78.11,125.05,140.05,78.11
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,27.0,436.7,15.66,156.21,203.12,436.7,156.21
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,22.0,171.67,31.25,125.01,140.62,171.67,125.01
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,13.0,437.47,15.63,125.0,437.47,437.47,125.0
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,11.0,1062.48,19.53,125.02,1062.48,1062.48,125.02
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,13.0,234.4,124.98,140.61,234.4,234.4,140.61
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,33.0,2503.46,18.33,125.0,140.64,2503.46,125.0
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,17.0,125.04,16.97,46.88,125.04,125.04,46.88
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,7.0,328.13,15.65,140.6,328.13,328.13,140.6
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,17.0,125.0,15.63,31.23,125.0,125.0,31.23
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,17.0,421.86,31.22,93.77,421.86,421.86,93.77
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,27.0,141.1,15.71,125.01,140.61,141.1,125.01
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,19.0,140.62,19.83,46.9,140.62,140.62,46.9
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,21.0,142.58,124.97,124.99,140.64,142.58,124.99
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GetUCMHubTopToolsByUserId,28.0,203.13,15.62,46.88,140.63,203.13,46.88
