startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,248.0,484.38,125.01,140.63,187.47,484.35,140.63
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,279.0,437.51,124.22,125.04,141.41,421.87,125.04
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,1029.0,578.13,125.54,140.63,433.1,453.11,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,276.0,453.14,124.99,140.62,403.76,453.12,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,255.0,437.51,124.95,140.61,171.88,374.99,140.61
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,231.0,1046.87,31.28,128.4,203.12,434.57,128.4
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,257.0,437.5,125.0,140.61,156.25,421.86,140.61
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,136.0,553.8,126.02,140.62,187.51,500.0,140.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,246.0,437.53,31.28,128.43,187.44,437.5,128.43
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,378.0,19272.24,124.99,140.62,187.51,453.18,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,245.0,453.57,62.76,140.62,156.37,437.52,140.62
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,414.0,453.14,124.99,140.48,171.9,437.6,140.48
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,564.0,468.71,125.01,140.62,328.15,438.42,140.62
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,233.0,1110.23,17.77,124.99,145.27,431.57,124.99
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,309.0,468.74,31.26,127.41,156.25,437.47,127.41
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,269.0,453.12,125.0,140.62,328.11,453.11,140.62
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,292.0,2875.44,124.99,140.62,421.85,468.88,140.62
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,315.0,595.41,125.0,140.62,264.38,437.54,140.62
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,365.0,453.13,125.01,140.62,171.86,442.74,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,272.0,750.01,125.03,140.63,421.37,561.61,140.63
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,260.0,468.75,125.0,140.62,265.62,437.49,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,352.0,452.55,125.0,140.62,171.88,437.49,140.62
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,406.0,812.5,31.26,125.01,156.16,437.48,125.01
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,339.0,474.92,45.49,125.09,156.23,437.53,125.09
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,308.0,453.12,125.0,140.62,232.17,438.97,140.62
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,249.0,765.61,125.0,140.63,421.86,468.74,140.63
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,392.0,968.75,124.38,140.62,187.5,437.48,140.62
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,415.0,546.85,62.48,140.62,218.74,437.54,140.62
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,542.0,453.16,46.88,140.62,234.32,437.49,140.62
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,530.0,453.12,114.28,140.62,187.5,331.3,140.62
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,534.0,912.91,140.42,171.87,312.48,501.05,171.87
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,267.0,890.62,140.61,156.26,437.51,781.24,156.26
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,480.0,484.38,46.48,140.62,203.11,437.49,140.62
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,593.0,578.12,124.97,140.63,281.25,438.16,140.63
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,505.0,593.75,118.59,140.64,343.8,468.94,140.64
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,469.0,671.87,124.99,140.63,295.86,471.57,140.63
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,324.0,523.18,63.17,140.61,156.25,312.43,140.61
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,565.0,531.25,34.35,131.13,220.08,440.63,131.13
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,481.0,505.32,52.49,140.6,171.86,437.53,140.6
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,326.0,453.16,125.0,140.62,187.51,437.49,140.62
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,614.0,1343.77,140.62,171.88,437.5,484.37,171.88
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,157.0,640.61,140.62,156.25,436.18,515.62,156.25
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,617.0,1459.27,125.0,140.62,250.0,437.54,140.62
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,720.0,21073.38,31.25,129.73,187.5,445.31,129.73
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,725.0,799.36,31.26,140.47,203.35,453.12,140.47
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,436.0,489.0,124.64,140.62,171.88,437.51,140.62
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,840.0,3050.6,31.2,76.21,173.55,421.91,76.21
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,312.0,1328.16,62.49,140.59,156.33,343.74,140.59
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,536.0,843.74,122.83,140.58,218.76,437.5,140.58
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,525.0,453.06,125.0,140.66,171.82,328.17,140.66
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,639.0,343.75,125.0,140.62,156.25,312.54,140.62
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,288.0,421.87,31.22,125.04,156.26,406.28,125.04
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,545.0,2589.29,36.15,125.07,155.87,343.77,125.07
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,430.0,1018.31,46.9,125.04,156.26,328.13,125.04
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,494.0,437.54,31.23,125.03,140.69,250.05,125.03
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,483.0,3281.24,31.26,125.04,156.25,328.13,125.04
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,543.0,909.2,31.22,125.01,149.72,390.62,125.01
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,564.0,876.27,124.99,140.63,288.28,468.75,140.63
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,458.0,765.66,124.43,140.59,157.69,389.25,140.59
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,281.0,19236.37,77.31,125.01,156.25,500.25,125.01
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,336.0,562.49,125.04,140.62,156.29,328.12,140.62
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,299.0,343.76,31.24,125.01,140.65,328.11,125.01
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,248.0,1009.1,125.01,140.63,171.9,609.37,140.63
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,472.0,984.39,31.29,125.04,156.25,312.5,125.04
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccountBySAPId,636.0,388.59,40.55,140.52,171.87,218.76,140.52
