startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,6757.0,14194.3,44.14,140.62,187.5,499.98,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,7989.0,19444.1,31.44,140.61,170.02,444.69,140.61
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,9088.0,17847.38,47.32,140.62,192.88,453.12,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8550.0,7953.86,77.53,140.62,208.94,470.41,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8013.0,22246.15,63.78,140.62,187.49,468.72,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,7271.0,20746.05,31.34,140.62,186.68,453.14,140.62
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8618.0,17872.91,85.62,140.62,218.74,453.14,140.62
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,5348.0,24295.66,93.29,140.62,202.91,718.74,140.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,7752.0,20734.03,119.69,140.62,221.43,474.41,140.62
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,6995.0,19267.3,89.14,140.62,211.86,453.18,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,6969.0,2406.21,46.87,140.61,218.54,468.33,140.61
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,7491.0,2031.25,124.77,140.62,304.15,453.1,140.62
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8562.0,19261.61,124.98,140.63,187.58,453.2,140.63
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8571.0,8595.26,46.96,140.62,214.39,453.89,140.62
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,9557.0,2508.19,125.0,140.62,216.21,484.35,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,7597.0,28010.22,124.99,140.62,230.75,453.41,140.62
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8137.0,13058.52,76.4,140.62,212.92,473.96,140.62
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,9878.0,19272.71,124.81,140.62,188.45,453.12,140.62
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,9654.0,10504.32,118.84,140.62,197.9,484.36,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8686.0,32519.31,125.0,140.62,203.28,453.44,140.62
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,6956.0,19266.72,37.93,140.62,195.31,455.32,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,7999.0,2341.66,31.28,140.6,188.39,470.56,140.6
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,8409.0,21233.31,32.37,140.62,188.24,455.42,140.62
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchAccount,7865.0,5526.2,125.0,140.62,226.74,453.15,140.62
