startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7152.0,1939.81,48.45,140.62,203.89,438.57,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7658.0,4515.67,92.19,140.62,234.45,449.98,140.62
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,8262.0,24239.91,46.66,140.62,218.75,437.52,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,9175.0,7236.17,32.76,140.62,242.46,448.0,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,6923.0,25754.03,46.02,140.63,203.15,438.07,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,6922.0,14087.52,45.98,140.62,266.07,439.2,140.62
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,8907.0,12938.79,33.8,140.61,203.21,437.52,140.61
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,5623.0,2718.75,99.19,140.63,233.9,453.12,140.63
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7174.0,21070.16,46.87,140.62,255.78,468.88,140.62
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,6738.0,6078.17,34.3,140.62,234.19,444.43,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,5770.0,1468.89,46.88,140.62,235.43,438.15,140.62
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,4911.0,2671.86,31.26,125.0,162.64,437.5,125.0
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,8717.0,30400.22,77.88,140.62,218.74,453.06,140.62
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7142.0,8915.08,93.03,140.62,235.39,453.09,140.62
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7232.0,2647.68,55.71,140.62,218.56,437.57,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,5621.0,2314.73,49.07,140.62,203.17,437.6,140.62
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7236.0,8734.42,47.55,140.62,202.71,449.32,140.62
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7152.0,13593.77,46.88,140.62,234.39,453.73,140.62
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,7138.0,9894.58,62.54,140.63,218.75,453.04,140.63
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,5383.0,17093.48,75.33,140.62,235.39,453.12,140.62
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,4244.0,4609.56,47.4,140.62,218.84,453.12,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,5274.0,195732.8,31.59,140.62,202.29,437.51,140.62
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/GlobalSearchCustomer,6839.0,2613.53,125.0,140.63,233.96,453.12,140.63
