startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1663.0,1312.49,124.62,139.67,312.49,453.12,139.67
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1254.0,20461.78,124.99,133.11,210.95,442.53,133.11
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1592.0,13159.93,125.0,140.61,328.15,453.14,140.61
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1793.0,2001.24,124.98,140.59,218.77,437.56,140.59
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1771.0,722.75,125.0,140.62,289.05,453.12,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1388.0,3125.43,124.99,140.61,328.13,453.11,140.61
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,969.0,18598.54,42.67,125.02,328.13,453.14,125.02
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,674.0,468.79,125.01,140.62,328.11,437.51,140.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1258.0,2516.01,125.0,140.62,422.01,453.06,140.62
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1281.0,19264.6,124.99,140.61,421.84,453.09,140.61
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,843.0,500.02,125.0,140.61,203.14,452.85,140.61
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,575.0,562.49,31.25,125.08,359.36,453.08,125.08
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1276.0,4066.88,124.98,140.58,185.01,458.04,140.58
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1084.0,484.33,124.99,140.59,234.25,437.52,140.59
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1532.0,1648.48,124.99,140.58,230.48,438.18,140.58
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1043.0,3093.7,124.98,140.39,171.88,437.52,140.39
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1145.0,873.59,31.83,127.81,277.34,453.11,127.81
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1406.0,17894.83,31.25,125.02,218.74,437.53,125.02
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1390.0,13297.26,125.0,140.62,351.55,468.75,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1389.0,3312.55,125.0,140.61,359.67,453.12,140.61
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,909.0,13952.86,124.99,140.6,390.61,453.11,140.6
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1060.0,1658.67,31.66,125.01,171.87,437.5,125.01
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1336.0,4843.9,125.0,140.61,347.64,468.75,140.61
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1256.0,22453.07,125.0,140.62,421.86,453.11,140.62
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1617.0,4756.31,125.0,140.62,421.89,453.11,140.62
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,999.0,1593.73,124.99,140.5,218.74,438.21,140.5
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1212.0,1484.34,123.86,126.44,203.12,437.52,126.44
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1856.0,1015.55,124.32,125.32,234.37,453.09,125.32
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1201.0,9611.13,31.26,125.02,171.87,438.5,125.02
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1367.0,2457.04,124.99,140.61,343.75,453.11,140.61
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1626.0,7515.89,125.0,140.62,328.12,437.59,140.62
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,794.0,2281.22,124.97,140.59,421.88,468.75,140.59
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1570.0,32418.44,81.61,139.34,328.08,453.12,139.34
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1282.0,5734.46,124.99,139.96,218.68,437.53,139.96
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1323.0,2359.38,84.33,139.36,234.39,453.11,139.36
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1009.0,4626.06,125.0,140.62,359.38,437.55,140.62
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1069.0,19257.45,124.99,140.58,203.12,437.53,140.58
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1615.0,19266.97,124.99,126.82,234.36,453.11,126.82
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1516.0,4093.78,125.0,140.6,249.99,453.12,140.6
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1378.0,15316.84,124.99,125.05,210.95,437.49,125.05
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,698.0,30530.78,125.0,140.61,421.89,531.23,140.61
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,844.0,8156.49,125.01,140.63,437.49,1765.83,140.63
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1115.0,17210.62,124.99,140.58,425.54,2578.08,140.58
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1053.0,12461.82,125.0,140.59,250.01,531.25,140.59
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,979.0,10833.92,124.99,125.04,187.51,437.49,125.04
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,809.0,687.49,125.0,140.58,203.11,437.49,140.58
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1206.0,3187.49,124.7,125.03,140.66,359.37,125.03
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,814.0,10242.45,124.96,129.41,218.74,3249.9,129.41
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,970.0,11765.46,124.96,125.04,187.51,500.0,125.04
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1038.0,4656.13,124.32,125.03,140.68,390.66,125.03
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1235.0,3081.88,124.99,125.06,140.66,343.74,125.06
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1026.0,4062.41,124.99,125.04,141.3,349.95,125.04
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1302.0,4492.11,31.25,125.01,140.65,312.51,125.01
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1248.0,4453.07,124.98,125.04,156.25,390.63,125.04
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v1/LogInfo,1601.0,3121.76,124.98,125.04,140.66,282.4,125.04
