startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,149.0,2921.85,125.01,140.61,437.49,812.49,140.61
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,95.0,437.49,125.0,125.05,187.49,437.49,125.05
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,82.0,687.49,125.0,127.49,432.45,687.49,127.49
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,92.0,281.25,125.0,127.48,156.27,281.25,127.48
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,116.0,515.16,125.0,140.62,421.81,437.54,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,100.0,453.13,124.97,125.01,140.64,421.88,125.01
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,86.0,421.85,125.0,125.01,156.24,421.85,125.01
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,67.0,437.51,125.0,127.35,421.89,437.51,127.35
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,86.0,453.09,125.0,125.05,431.21,453.09,125.05
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,88.0,515.63,124.99,140.59,422.83,515.63,140.59
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,80.0,437.57,125.0,140.63,421.87,437.57,140.63
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,67.0,562.64,124.97,125.02,203.14,562.64,125.02
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,96.0,1745.3,125.0,135.06,437.48,1745.3,135.06
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,128.0,437.5,125.0,125.11,156.26,187.49,125.11
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,138.0,1648.48,125.0,140.58,343.74,437.49,140.58
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,76.0,499.98,125.01,140.62,437.5,499.98,140.62
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,65.0,453.88,125.0,125.03,259.99,453.88,125.03
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,109.0,487.19,125.0,125.03,203.19,453.08,125.03
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,108.0,484.37,125.0,140.61,203.16,437.5,140.61
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,88.0,5926.9,125.0,140.43,421.9,5926.9,140.43
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,100.0,3749.94,125.0,140.62,436.57,1421.75,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,78.0,453.13,125.0,125.01,343.76,453.13,125.01
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,84.0,453.16,125.0,125.03,187.5,453.16,125.03
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,107.0,1140.61,125.0,140.59,156.24,437.51,140.59
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,137.0,578.11,125.0,132.91,171.87,450.6,132.91
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,72.0,1281.22,125.0,140.47,171.88,1281.22,140.47
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,470.0,453.13,125.01,140.62,234.39,437.54,140.62
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,674.0,1624.97,125.01,140.61,430.32,438.5,140.61
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,698.0,515.6,125.01,140.61,421.88,437.52,140.61
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,611.0,546.86,125.01,140.61,421.91,441.62,140.61
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,630.0,671.9,125.01,140.62,421.87,438.35,140.62
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,530.0,531.22,125.01,140.62,429.28,453.11,140.62
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,675.0,578.16,125.01,140.62,437.48,437.58,140.62
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,800.0,750.19,125.01,140.61,359.37,437.52,140.61
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,569.0,18454.94,125.0,140.61,421.86,437.5,140.61
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,644.0,750.0,125.01,140.62,436.97,453.13,140.62
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,561.0,6051.94,125.0,131.26,421.87,437.53,131.26
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,712.0,21676.57,125.0,139.97,406.29,439.67,139.97
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,664.0,1219.16,125.0,128.44,421.86,437.5,128.44
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,590.0,468.74,125.0,130.92,312.5,437.5,130.92
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,435.0,1531.24,125.0,125.74,312.5,440.48,125.74
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,362.0,4249.91,125.01,140.57,265.62,609.37,140.57
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,559.0,1625.17,125.0,126.38,421.57,453.1,126.38
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,531.0,11265.31,125.0,128.41,421.86,437.51,128.41
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,526.0,2047.54,125.0,125.06,328.11,437.52,125.06
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,498.0,442.36,125.0,125.04,156.25,428.43,125.04
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,635.0,12221.31,125.0,125.04,143.91,421.87,125.04
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,595.0,2078.13,125.01,139.49,156.24,470.49,139.49
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,959.0,796.86,125.0,125.04,156.24,437.5,125.04
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1051.0,890.61,125.0,125.04,140.63,312.51,125.04
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1087.0,395.22,125.0,125.03,140.63,265.62,125.03
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1097.0,3261.63,125.0,125.04,140.63,234.4,125.04
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1095.0,1015.62,125.0,125.03,140.63,234.1,125.03
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1012.0,453.12,125.0,125.04,140.63,267.46,125.04
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1156.0,828.14,125.0,125.04,140.63,265.61,125.04
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,956.0,2468.7,125.0,125.04,140.63,218.72,125.04
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1066.0,437.53,125.0,125.03,140.63,187.48,125.03
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1036.0,328.16,125.0,125.04,140.63,165.2,125.04
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1045.0,921.9,125.0,125.03,140.63,311.01,125.03
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,688.0,21021.42,119.63,125.01,140.62,281.29,125.01
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,901.0,953.15,125.01,125.04,140.63,186.97,125.04
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1100.0,999.98,125.0,125.03,140.63,249.79,125.03
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,778.0,1988.1,125.0,125.04,140.63,236.94,125.04
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1080.0,984.39,125.0,125.04,140.63,234.33,125.04
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1117.0,500.01,125.0,125.04,140.63,171.88,125.04
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1021.0,390.66,125.0,125.04,140.62,203.25,125.04
2018-05-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,909.0,2624.93,125.0,125.04,140.63,187.49,125.04
2018-05-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,955.0,437.47,125.01,125.04,140.64,203.19,125.04
2018-05-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1235.0,340600.63,125.0,125.04,140.63,312.54,125.04
2018-05-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1477.0,112012.34,125.0,125.08,245.68,12761.24,125.08
2018-05-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1055.0,437.49,125.0,125.04,140.65,281.25,125.04
2018-05-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,958.0,562.5,125.0,125.03,140.63,292.78,125.03
2018-05-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,897.0,5558.11,125.0,125.03,140.65,437.47,125.03
2018-05-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/MultiRequestCommand,1003.0,875.05,125.0,125.02,140.62,312.57,125.02
