startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,1609.72,31.25,31.27,78.13,1609.72,31.27
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,73.0,1046.88,31.25,31.27,78.15,1046.88,31.27
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,93.72,31.24,31.26,62.47,93.72,31.26
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,2621.26,31.24,31.26,93.78,2621.26,31.26
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,74.0,125.0,31.24,31.27,93.75,125.0,31.27
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,73.0,674.01,31.25,31.27,234.37,674.01,31.27
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,6235.27,31.25,31.26,78.12,6235.27,31.26
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,47.0,6624.99,31.25,31.27,62.49,6624.99,31.27
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,1858.73,31.24,31.25,62.51,1858.73,31.25
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,73.0,250.02,31.24,31.26,78.12,250.02,31.26
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,250.01,31.25,31.28,78.15,250.01,31.28
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,1003.08,31.25,31.27,78.19,1003.08,31.27
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,71.0,3687.27,31.25,31.35,109.35,3687.27,31.35
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,74.0,250.0,31.25,31.28,88.99,250.0,31.28
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,1609.41,31.17,31.25,62.52,1609.41,31.25
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,72.0,4878.0,31.25,42.5,93.78,4878.0,42.5
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,73.0,78.15,31.24,31.27,46.91,78.15,31.27
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessAutoClosePitchedOpportunities,71.0,3213.43,31.25,31.27,495.64,3213.43,31.27
