startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,965.0,18962.64,31.26,214.36,295.57,390.63,214.36
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,952.0,468.72,31.25,103.91,219.32,281.24,103.91
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,952.0,7057.65,31.26,152.53,203.07,265.64,152.53
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,943.0,421.85,31.26,150.04,203.1,250.04,150.04
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,967.0,20013.25,31.25,149.44,203.13,390.57,149.44
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,964.0,2000.73,31.25,154.05,191.04,284.73,154.05
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,952.0,547.99,31.25,153.03,205.45,265.61,153.03
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,684.0,5178.41,31.26,170.72,216.52,314.12,170.72
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,939.0,764.03,31.25,94.74,191.01,265.63,94.74
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,938.0,296.87,31.26,93.75,187.53,234.4,93.75
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,947.0,355.41,31.25,97.04,202.7,265.63,97.04
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,939.0,715.52,31.26,88.77,203.12,265.65,88.77
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,944.0,1015.2,31.26,123.55,203.13,296.85,123.55
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,952.0,489.07,31.26,114.59,216.66,307.74,114.59
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,959.0,407.3,31.25,109.55,192.82,265.57,109.55
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,956.0,343.76,31.25,120.7,188.49,250.04,120.7
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,964.0,328.15,31.25,125.01,200.45,250.03,125.01
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,969.0,3687.54,31.25,158.08,216.47,281.24,158.08
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,974.0,1920.05,31.26,156.07,204.68,296.9,156.07
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,940.0,421.9,31.26,96.23,203.12,249.99,96.23
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,723.0,1044.93,31.25,31.27,78.12,203.12,31.27
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,726.0,283.36,31.24,31.27,78.14,231.9,31.27
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,724.0,343.46,31.25,31.27,78.14,128.38,31.27
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,725.0,983.07,31.25,31.27,78.13,156.25,31.27
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,726.0,578.16,31.25,31.27,78.12,250.02,31.27
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,723.0,312.49,31.24,31.26,78.13,143.99,31.26
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,723.0,421.79,31.26,46.88,93.75,265.69,46.88
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,724.0,284.53,31.25,31.27,78.14,218.75,31.27
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,720.0,1288.2,31.25,31.27,78.12,112.42,31.27
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/ProcessOpportunityTrackingSnapshotForOfflineTracking,723.0,1033.92,31.24,31.27,78.15,183.22,31.27
