startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.28,31.24,31.28,31.28,31.28,31.28
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.23,25.96,31.23,31.23,31.23,31.23
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,78.12,15.64,78.12,78.12,78.12,78.12
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.26,15.62,31.26,31.26,31.26,31.26
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.24,31.23,31.24,31.24,31.24,31.24
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.25,31.25,31.25,31.25,31.25,31.25
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,15.61,15.6,15.61,15.61,15.61,15.61
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,1.0,31.25,31.25,31.25,31.25,31.25,31.25
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,62.48,31.25,62.48,62.48,62.48,62.48
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.25,15.64,31.25,31.25,31.25,31.25
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.23,31.23,31.23,31.23,31.23,31.23
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.3,31.29,31.3,31.3,31.3,31.3
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ProgrammaticOpportunityTypes,2.0,31.25,31.24,31.25,31.25,31.25,31.25
