startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3664.0,19255.95,109.37,156.24,328.14,531.25,156.24
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3922.0,7593.78,109.39,156.62,328.15,500.0,156.62
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,4236.0,19269.43,109.41,156.42,328.16,515.62,156.42
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3913.0,4629.79,110.6,156.25,345.29,530.94,156.25
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3587.0,18514.18,109.39,170.81,364.27,562.5,170.81
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3418.0,18324.67,123.77,171.92,406.24,614.61,171.92
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3669.0,18659.23,124.97,171.87,374.88,542.67,171.87
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,2153.0,2894.2,127.43,187.48,390.61,531.23,187.48
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3169.0,19243.95,109.93,158.11,374.97,547.2,158.11
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,2543.0,12212.39,124.99,185.39,422.19,546.87,185.39
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,2395.0,15745.98,125.01,199.83,391.01,546.89,199.83
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,1955.0,2524.47,93.75,140.62,328.14,531.26,140.62
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3016.0,8535.58,109.37,156.25,359.37,592.98,156.25
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3107.0,12545.16,125.0,202.5,399.28,578.08,202.5
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,2878.0,2788.99,124.96,172.32,420.39,578.13,172.32
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,2200.0,2783.74,109.37,156.25,343.75,546.87,156.25
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,2630.0,3527.54,109.39,156.24,343.72,530.12,156.24
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchLabelWithAccountCounts,3221.0,21684.3,125.01,171.77,390.77,531.24,171.77
