startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,324.0,562.48,93.76,156.25,203.14,484.35,156.25
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,358.0,593.75,100.46,156.25,203.14,468.74,156.25
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,327.0,2576.57,49.77,138.27,212.98,456.23,138.27
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,356.0,500.0,62.5,125.03,203.13,453.18,125.03
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,316.0,468.7,46.88,125.0,218.57,421.93,125.0
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,298.0,671.86,62.5,125.05,281.24,501.7,125.05
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,330.0,499.98,62.49,125.02,187.51,437.5,125.02
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,223.0,468.75,62.52,153.95,302.56,437.5,153.95
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,374.0,1830.04,62.54,140.58,390.61,499.98,140.58
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,343.0,4203.1,111.62,169.69,281.24,488.67,169.69
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,293.0,593.74,78.13,140.61,281.24,468.69,140.61
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,360.0,484.41,62.47,125.01,203.13,468.96,125.01
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,470.0,19243.9,62.5,140.63,265.63,484.4,140.63
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,512.0,679.22,124.99,156.48,343.77,491.03,156.48
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,446.0,468.76,62.5,140.62,250.02,453.11,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,405.0,2468.77,62.48,125.02,218.75,484.05,125.02
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,402.0,579.44,76.36,140.62,359.37,484.43,140.62
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,657.0,859.22,59.83,126.44,187.54,467.75,126.44
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,456.0,567.2,93.77,148.52,343.74,468.76,148.52
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,547.0,656.25,125.0,168.84,343.74,499.99,168.84
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,401.0,546.84,62.51,140.62,327.93,437.45,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,433.0,1109.36,78.13,155.69,359.41,500.58,155.69
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,673.0,1764.13,124.42,156.25,359.37,484.37,156.25
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,530.0,546.87,87.53,140.92,343.59,469.49,140.92
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,488.0,722.2,125.0,171.87,421.86,484.38,171.87
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,509.0,531.24,125.0,171.87,384.11,484.36,171.87
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,644.0,546.48,93.95,156.23,312.5,468.75,156.23
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,610.0,8939.88,62.51,140.6,359.41,484.5,140.6
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,809.0,2578.08,124.72,156.62,265.62,470.16,156.62
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,581.0,1498.2,92.61,156.25,234.36,468.75,156.25
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,445.0,515.63,78.36,156.22,328.12,468.82,156.22
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,594.0,812.5,62.5,140.73,390.51,468.74,140.73
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,699.0,506.21,125.0,171.87,375.02,470.08,171.87
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForAccount,508.0,6742.07,93.17,156.25,218.74,468.61,156.25
