startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,1133.0,2717.33,62.5,140.63,190.05,343.75,140.63
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,2476.0,1845.72,78.08,140.63,187.51,343.78,140.63
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,1590.0,11030.65,62.48,140.62,202.11,453.11,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,1376.0,2781.16,62.53,140.63,203.12,484.37,140.63
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,1322.0,6387.69,76.86,140.66,218.76,468.76,140.66
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,1172.0,718.74,62.51,140.63,218.72,394.15,140.63
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,877.0,531.26,46.89,140.6,187.5,454.95,140.6
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,619.0,484.5,62.53,140.63,203.12,390.62,140.63
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,904.0,718.68,78.12,140.69,203.27,461.84,140.69
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,992.0,3939.74,125.0,156.24,218.75,484.36,156.24
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,832.0,500.05,47.68,140.62,187.49,375.0,140.62
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,657.0,2348.2,32.45,78.13,171.87,437.5,78.13
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,1032.0,812.53,78.15,140.64,187.54,484.4,140.64
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,869.0,640.62,70.48,140.64,202.78,468.75,140.64
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,957.0,499.99,46.86,125.04,187.49,387.59,125.04
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,727.0,1809.93,61.59,124.99,171.92,328.56,124.99
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,948.0,562.5,62.53,140.62,187.52,437.42,140.62
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,926.0,500.0,46.91,140.62,171.92,343.74,140.62
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,771.0,7296.83,78.52,148.13,203.15,421.88,148.13
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactForCustomer,573.0,8414.06,62.48,140.62,203.1,330.14,140.62
