startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,7150.0,19271.44,62.61,140.62,313.08,442.6,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,9004.0,22173.62,62.25,140.61,291.48,452.8,140.61
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,10000.0,19261.56,63.22,140.62,312.19,442.03,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,9304.0,3109.35,88.49,140.62,309.08,453.12,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,8835.0,36103.33,78.11,140.63,328.12,453.21,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,7061.0,7401.31,98.92,140.62,328.69,453.12,140.62
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,9232.0,22945.13,78.41,140.62,313.31,437.53,140.62
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,6263.0,19567.33,121.28,140.62,266.25,438.31,140.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,8572.0,18774.02,56.77,140.61,327.94,437.54,140.61
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,7905.0,19190.36,87.14,140.63,328.43,452.75,140.63
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,7126.0,19274.68,62.5,140.6,328.12,437.57,140.6
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,7334.0,2680.32,68.4,140.62,343.91,437.58,140.62
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,9212.0,1656.35,104.15,140.62,327.96,437.77,140.62
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,9705.0,19258.22,77.98,140.62,321.1,453.08,140.62
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,10056.0,21659.9,124.48,140.62,328.03,437.54,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,8229.0,8954.6,121.52,140.62,330.95,438.67,140.62
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,9257.0,12120.17,77.88,140.62,328.1,437.53,140.62
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,10897.0,5640.62,95.75,140.62,317.24,438.31,140.62
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,10841.0,22548.24,124.56,140.62,326.17,437.54,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,6937.0,2785.88,125.0,140.63,359.36,453.11,140.63
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,4006.0,19244.09,124.99,140.63,359.89,456.51,140.63
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,4541.0,69292.65,124.99,140.62,343.74,437.57,140.62
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,5444.0,21972.43,125.0,140.62,343.75,453.11,140.62
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,4574.0,18226.68,125.0,140.63,410.12,453.56,140.63
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,4383.0,1691.09,125.0,140.63,390.59,453.1,140.63
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,3722.0,5325.45,125.0,140.63,359.73,439.57,140.63
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,4730.0,4484.42,124.99,140.62,343.75,440.35,140.62
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,4757.0,19265.4,124.56,140.62,328.12,439.49,140.62
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserContactInfoLightByAccountId,5412.0,30153.85,125.0,140.63,343.57,437.63,140.63
