startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,77.0,453.11,124.99,125.01,218.75,453.11,125.01
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,74.0,141.08,31.25,125.0,140.62,141.08,125.0
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,1065.0,3428.08,138.54,140.63,187.5,437.5,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,196.0,453.12,125.0,140.62,203.12,437.52,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,876.0,1758.17,125.09,140.63,203.11,437.54,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,391.0,437.53,125.03,140.62,171.88,437.5,140.62
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,77.0,437.49,125.0,140.62,421.85,437.49,140.62
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,29.0,437.51,125.0,130.32,235.07,437.51,130.32
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,72.0,437.67,124.74,125.03,156.24,437.67,125.03
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,68.0,20290.97,124.99,125.22,437.48,20290.97,125.22
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,164.0,437.73,125.0,140.59,245.46,437.53,140.59
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,49.0,424.75,15.66,46.89,140.6,424.75,46.89
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,69.0,437.54,20.28,124.99,140.63,437.54,124.99
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,72.0,1469.51,124.96,125.0,437.5,1469.51,125.0
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,61.0,437.52,124.99,125.01,187.05,437.52,125.01
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,80.0,456.22,122.15,125.05,203.13,456.22,125.05
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,123.0,437.52,125.0,140.01,171.87,437.51,140.01
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,63.0,578.11,124.97,125.03,170.51,578.11,125.03
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,73.0,218.77,124.98,125.0,156.25,218.77,125.0
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,276.0,3062.56,125.04,140.66,171.89,468.75,140.66
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,53.0,437.5,31.22,125.01,312.5,437.5,125.01
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,43.0,1098.21,124.98,125.02,187.5,1098.21,125.02
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,91.0,437.49,124.99,125.01,156.23,437.49,125.01
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,1592.0,12812.29,125.01,140.62,187.49,437.49,140.62
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,648.0,468.74,125.04,140.63,171.84,437.53,140.63
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,88.0,2232.16,125.0,125.03,265.63,2232.16,125.03
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,1014.0,1140.6,140.61,140.63,217.65,437.5,140.63
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,129.0,1015.65,125.0,140.62,145.96,328.13,140.62
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,101.0,343.74,31.26,125.0,140.64,171.87,125.0
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,114.0,1392.36,125.0,140.63,421.96,843.78,140.63
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,68.0,437.48,31.24,125.0,187.5,437.48,125.0
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,77.0,203.13,124.98,125.01,140.63,203.13,125.01
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,352.0,453.12,128.23,140.63,186.72,437.49,140.63
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,530.0,437.54,125.03,140.62,141.1,312.52,140.62
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,733.0,2453.08,125.0,140.62,171.88,437.5,140.62
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,69.0,484.37,125.0,137.81,421.86,484.37,137.81
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,314.0,1713.94,31.23,31.29,140.62,392.23,31.29
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,356.0,9166.26,125.01,140.62,171.87,437.49,140.62
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,49.0,437.49,124.99,125.0,187.5,437.49,125.0
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,3102.0,2233.68,125.04,140.62,187.38,437.49,140.62
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,64.0,453.12,124.99,125.04,437.47,453.12,125.04
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,82.0,390.58,125.0,138.36,140.66,390.58,138.36
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,122.0,250.0,125.0,125.04,141.65,234.38,125.04
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,73.0,203.12,124.81,125.01,140.63,203.12,125.01
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,79.0,203.12,124.99,125.01,140.63,203.12,125.01
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,279.0,312.5,16.49,31.26,140.62,203.15,31.26
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,45.0,281.24,124.99,125.01,140.64,281.24,125.01
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,2911.0,4161.81,15.65,31.24,34.34,156.21,31.24
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,67.0,18622.11,124.98,125.46,156.25,18622.11,125.46
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,683.0,703.13,15.65,31.27,140.62,185.26,31.27
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,699.0,1345.92,16.69,31.25,125.0,218.72,31.25
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,72.0,1984.35,15.65,50.87,141.18,1984.35,50.87
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,115.0,596.45,31.24,125.03,140.64,265.61,125.03
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,329.0,328.11,125.51,140.62,143.33,265.61,140.62
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,73.0,203.13,124.99,125.27,141.64,203.13,125.27
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,58.0,140.79,16.96,124.99,140.64,140.79,124.99
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,58.0,2358.0,16.26,125.0,140.67,2358.0,125.0
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,55.0,312.53,125.0,125.04,140.66,312.53,125.04
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,3726.0,4484.37,125.04,140.62,140.68,234.37,140.62
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,3605.0,42089.27,125.04,140.62,156.24,21022.07,140.62
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,110.0,2140.59,125.0,125.03,140.66,249.95,125.03
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,82.0,312.49,124.98,125.0,140.61,312.49,125.0
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,55.0,140.66,124.98,125.0,140.63,140.66,125.0
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,77.0,437.45,124.99,125.04,188.56,437.45,125.04
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,5280.0,5337.76,125.03,140.62,140.66,218.69,140.62
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,52.0,578.85,31.21,125.0,140.63,578.85,125.0
2018-05-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,69.0,200.69,122.01,125.0,140.65,200.69,125.0
2018-05-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,132.0,390.62,125.0,133.85,144.8,328.42,133.85
2018-05-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,125.0,15329.74,31.26,125.0,171.87,6655.41,125.0
2018-05-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,113.0,184019.11,106.47,125.03,26855.7,85192.86,125.03
2018-05-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,60.0,437.53,125.0,125.04,140.64,437.53,125.04
2018-05-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,60.0,250.03,31.33,125.01,171.89,250.03,125.01
2018-05-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,107.0,343.74,125.0,140.59,171.85,281.26,140.59
2018-05-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,263.0,1171.9,125.0,129.35,140.67,500.33,129.35
2018-05-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,90.0,265.62,124.99,125.04,140.65,265.62,125.04
2018-05-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,683.0,359.37,125.02,140.59,140.65,156.26,140.59
2018-05-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,79.0,313.63,124.97,125.03,140.67,313.63,125.03
2018-05-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,88.0,234.25,125.02,140.6,156.28,234.25,140.6
2018-05-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,31922.0,19265.86,125.03,140.62,141.29,234.24,140.62
2018-05-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,10573.0,8512.12,125.02,140.6,140.66,203.1,140.6
2018-05-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,200.0,2156.26,125.01,125.04,140.65,202.55,125.04
2018-05-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,32.0,343.75,15.63,109.39,140.62,343.75,109.39
2018-05-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,63.0,330.35,120.55,128.01,203.14,330.35,128.01
2018-05-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,69.0,548.96,125.0,125.96,234.37,548.96,125.96
2018-05-31,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,49.0,171.88,124.97,125.05,156.29,171.88,125.05
2018-06-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SearchUserDetails,54.0,140.65,31.3,125.0,140.63,140.65,125.0
