startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1634.0,855.3,31.24,31.26,78.13,156.25,31.26
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1917.0,2813.11,31.24,31.26,78.12,175.88,31.26
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2016.0,1347.49,31.24,31.26,78.12,249.99,31.26
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1976.0,20457.88,31.24,31.26,78.12,126.41,31.26
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1814.0,9407.02,31.23,31.26,78.13,156.23,31.26
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2156.0,6703.12,31.24,31.26,78.1,249.99,31.26
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2192.0,8487.59,31.24,31.26,78.13,249.99,31.26
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1597.0,374.99,31.24,31.26,62.52,234.38,31.26
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1923.0,23071.82,31.23,31.26,78.1,188.85,31.26
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1946.0,17684.91,31.24,31.26,78.12,140.65,31.26
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1622.0,688.93,31.24,31.26,78.13,218.75,31.26
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1277.0,3452.3,31.24,31.27,78.13,203.12,31.27
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2068.0,1531.8,31.24,31.26,78.13,234.92,31.26
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2003.0,4549.32,31.24,31.26,78.13,156.2,31.26
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2248.0,1619.45,31.23,31.26,78.09,156.25,31.26
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1858.0,1328.21,31.24,31.26,78.12,153.0,31.26
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2003.0,2859.39,31.24,31.26,62.52,124.97,31.26
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2415.0,5729.67,31.23,31.26,78.1,171.88,31.26
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2189.0,3109.28,31.24,31.26,78.12,249.98,31.26
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2113.0,17685.78,31.24,31.26,78.13,140.84,31.26
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1732.0,30026.3,31.24,31.27,78.15,249.99,31.27
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1721.0,190842.86,31.23,31.26,78.11,234.4,31.26
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2118.0,1079.04,31.24,31.26,78.11,187.5,31.26
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1851.0,4294.26,31.24,31.26,78.12,234.44,31.26
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1867.0,11785.3,31.24,31.26,78.12,140.62,31.26
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1625.0,1452.7,31.23,31.26,78.13,140.6,31.26
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2240.0,8517.64,31.26,46.87,93.75,218.75,46.87
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2242.0,546.91,31.24,31.26,78.11,124.98,31.26
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2380.0,1288.2,31.24,31.26,78.11,203.15,31.26
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2186.0,2124.98,31.23,31.26,78.12,167.16,31.26
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1855.0,9652.66,31.24,31.26,78.13,171.89,31.26
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2906.0,1046.92,31.24,31.26,78.11,156.25,31.26
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1974.0,12716.47,31.24,31.26,77.86,140.6,31.26
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2267.0,24576.32,31.24,31.26,78.13,203.15,31.26
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1747.0,47760.76,31.24,31.26,78.12,140.63,31.26
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,1949.0,749.92,31.23,31.26,78.1,126.88,31.26
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2020.0,2488.72,31.23,31.26,78.1,171.85,31.26
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2271.0,2798.9,31.23,31.26,78.12,140.62,31.26
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2192.0,2617.09,31.22,31.25,78.1,171.86,31.25
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/SendAssignmentNotification,2114.0,701.56,31.23,31.26,78.1,140.63,31.26
