startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,19.0,12902.84,15.62,125.01,12902.84,12902.84,125.01
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,14.0,124.99,15.62,15.64,124.99,124.99,15.64
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,6.0,62.47,15.6,31.26,62.47,62.47,31.26
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,18.0,234.38,31.21,125.67,234.38,234.38,125.67
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,6.0,437.5,15.67,249.99,437.5,437.5,249.99
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,11.0,187.53,17.87,140.64,187.53,187.53,140.64
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,4.0,78.75,15.65,18.2,78.75,78.75,18.2
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,3.0,140.62,15.63,140.62,140.62,140.62,140.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,10.0,31.22,15.62,15.66,31.22,31.22,15.66
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,4.0,16.7,15.6,15.64,16.7,16.7,15.64
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,9.0,125.04,15.99,41.86,125.04,125.04,41.86
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,5.0,123.12,15.62,19.94,123.12,123.12,19.94
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,6.0,203.06,15.65,125.05,203.06,203.06,125.05
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,12.0,140.61,15.68,124.98,140.61,140.61,124.98
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,16.0,125.03,15.63,31.25,125.03,125.03,31.25
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,8.0,31.24,15.64,20.23,31.24,31.24,20.23
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/ServiceDataLastUpdated,7.0,15.65,15.62,15.65,15.65,15.65,15.65
