startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,3589.0,2404.31,125.5,140.67,343.78,453.16,140.67
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4593.0,10796.89,125.0,140.64,343.73,453.14,140.64
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4894.0,19350.33,125.02,140.64,339.71,453.12,140.64
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4828.0,7573.87,139.02,140.65,328.15,453.12,140.65
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4470.0,30055.26,140.46,171.87,359.35,470.52,171.87
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,3537.0,3894.04,126.22,143.17,349.37,453.13,143.17
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4681.0,21704.08,125.02,140.63,328.19,437.62,140.63
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,3165.0,734.74,140.59,171.86,417.97,489.08,171.86
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4296.0,7687.5,140.61,171.88,365.87,484.35,171.88
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4092.0,22088.35,140.61,156.23,359.37,468.71,156.23
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,3657.0,21400.51,125.03,140.64,351.97,453.16,140.64
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4220.0,19256.98,140.61,140.65,421.26,453.12,140.65
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4854.0,23468.76,140.38,140.64,343.77,453.12,140.64
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4946.0,19261.93,125.0,140.64,343.75,453.12,140.64
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,5286.0,19262.56,140.54,140.64,344.55,453.1,140.64
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4249.0,741.67,140.62,154.75,390.62,453.12,154.75
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4351.0,18787.05,140.61,171.73,359.76,468.79,171.73
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,5401.0,3328.35,140.6,140.67,359.37,453.2,140.67
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,5389.0,9374.95,140.62,171.87,362.6,468.78,171.87
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,5317.0,2850.55,140.62,171.9,390.52,484.36,171.9
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,3977.0,11400.8,126.22,171.88,374.91,488.3,171.88
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,4379.0,21763.63,125.01,140.63,342.82,453.11,140.63
