startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,2.0,31.25,31.23,31.25,31.25,31.25,31.25
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,4.0,140.61,31.24,124.99,140.61,140.61,124.99
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,4.0,125.0,31.25,125.0,125.0,125.0,125.0
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,7.0,140.62,125.26,139.6,140.62,140.62,139.6
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,12.0,140.62,124.99,125.01,140.62,140.62,125.01
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,4.0,1639.06,125.01,431.61,1639.06,1639.06,431.61
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,2.0,46.88,31.24,46.88,46.88,46.88,46.88
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,1.0,31.25,31.25,31.25,31.25,31.25,31.25
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,4.0,140.65,31.25,125.0,140.65,140.65,125.0
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,10.0,203.13,124.98,125.03,203.13,203.13,125.03
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,3.0,125.59,15.65,125.59,125.59,125.59,125.59
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Tactics,2.0,31.25,31.25,31.25,31.25,31.25,31.25
