startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,386.0,19255.92,125.0,140.6,281.69,437.51,140.6
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,250.0,438.71,125.0,139.98,359.44,437.55,139.98
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,268.0,453.11,125.0,128.79,297.45,437.9,128.79
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,273.0,484.08,125.0,140.59,218.75,437.53,140.59
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,371.0,921.88,125.0,140.62,203.13,437.53,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,288.0,667.61,125.0,125.1,171.88,453.12,125.1
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,251.0,593.74,125.0,140.59,406.24,439.75,140.59
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,206.0,437.54,125.01,140.62,203.17,437.5,140.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,256.0,19337.76,125.0,140.61,343.74,453.19,140.61
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,326.0,828.09,125.0,140.62,328.12,437.5,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,197.0,468.72,125.0,125.06,312.46,437.54,125.06
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,180.0,2296.87,124.99,125.1,328.09,453.14,125.1
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,276.0,468.75,125.01,140.62,421.91,437.66,140.62
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,279.0,467.85,125.01,140.62,421.82,453.11,140.62
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,368.0,1648.48,125.0,132.95,187.51,437.49,132.95
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,226.0,1062.42,125.0,140.6,328.13,453.12,140.6
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,274.0,2250.1,125.0,139.86,202.32,468.76,139.86
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,273.0,968.62,125.0,140.62,421.87,437.5,140.62
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,318.0,484.37,125.0,140.61,249.92,453.09,140.61
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,239.0,453.12,125.0,140.61,374.99,437.5,140.61
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,314.0,1234.35,125.0,140.61,219.21,453.11,140.61
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,224.0,453.11,125.0,140.62,328.13,437.49,140.62
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,376.0,2218.71,125.0,140.62,328.11,472.23,140.62
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,299.0,2624.93,125.0,140.54,233.79,453.12,140.54
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceCustomAttributes,390.0,703.11,125.0,140.61,281.37,453.11,140.61
