startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,105.0,453.07,125.01,140.63,437.34,437.5,140.63
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,59.0,437.52,125.0,140.55,140.66,437.52,140.55
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,72.0,831.32,125.01,140.62,437.57,831.32,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,97.0,671.92,125.01,140.62,437.49,671.92,140.62
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,59.0,453.12,125.01,140.63,157.31,453.12,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,55.0,437.5,125.0,140.63,187.52,437.5,140.63
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,43.0,437.5,125.01,140.63,421.86,437.5,140.63
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,35.0,437.5,125.18,140.63,406.28,437.5,140.63
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,79.0,531.26,125.0,140.61,421.88,531.26,140.61
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,51.0,453.12,125.0,140.62,187.51,453.12,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,70.0,2755.55,125.01,140.63,437.55,2755.55,140.63
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,62.0,469.83,125.01,140.62,437.48,469.83,140.62
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,83.0,984.29,138.47,140.64,437.5,984.29,140.64
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,79.0,562.48,140.56,140.63,328.22,562.48,140.63
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,110.0,484.41,125.01,140.62,437.48,437.52,140.62
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,73.0,438.3,125.01,140.62,437.47,438.3,140.62
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,96.0,453.12,125.01,140.62,260.31,453.12,140.62
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,112.0,533.86,125.01,140.63,328.11,443.04,140.63
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,59.0,453.12,125.0,140.62,437.51,453.12,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,100.0,531.2,133.8,140.63,437.5,453.12,140.63
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceEmailTemplateDetails,92.0,449.83,131.22,140.63,428.82,449.83,140.63
