startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,41.0,767.44,125.0,140.58,218.78,767.44,140.58
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,27.0,421.87,124.99,125.02,359.37,421.87,125.02
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,22.0,437.39,125.0,133.55,293.82,437.39,133.55
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,25.0,437.52,125.0,127.15,437.51,437.52,127.15
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,53.0,375.01,125.01,140.63,203.12,375.01,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,78.0,468.8,125.0,140.61,421.88,468.8,140.61
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,27.0,421.85,125.01,129.16,311.17,421.85,129.16
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,14.0,453.15,140.58,140.63,453.15,453.15,140.63
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,25.0,437.51,125.0,125.03,140.63,437.51,125.03
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceIsTicketModified,33.0,437.51,125.0,125.09,421.87,437.51,125.09
