startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,675.0,500.0,125.0,140.45,187.49,437.5,140.45
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,591.0,2359.34,125.0,125.06,187.48,437.53,125.06
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,610.0,562.51,125.0,140.61,328.38,437.52,140.61
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,600.0,1577.72,125.0,125.44,218.74,468.74,125.44
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,649.0,593.43,125.0,140.62,312.46,453.11,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,557.0,671.81,125.0,125.05,156.26,437.52,125.05
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,566.0,561.91,125.0,125.21,249.97,438.02,125.21
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,328.0,468.75,125.0,140.44,218.74,437.51,140.44
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,634.0,484.42,125.0,131.62,218.75,437.51,131.62
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,560.0,1140.59,125.0,140.6,312.5,437.51,140.6
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,400.0,10838.95,125.0,125.18,299.08,437.52,125.18
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,376.0,1875.0,125.0,140.58,375.0,439.64,140.58
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,599.0,1250.01,125.0,125.04,171.87,453.2,125.04
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,601.0,2641.97,125.0,140.59,374.51,468.73,140.59
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,715.0,453.14,125.0,140.52,234.36,437.51,140.52
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,522.0,734.37,125.0,127.41,234.38,437.58,127.41
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,639.0,1501.22,125.0,134.18,203.09,441.22,134.18
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,610.0,2296.85,125.0,125.73,343.76,453.12,125.73
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,633.0,499.99,125.0,140.56,225.37,438.95,140.56
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,565.0,2328.14,125.0,140.6,375.01,453.11,140.6
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,549.0,468.74,125.0,140.59,328.13,440.63,140.59
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,556.0,484.37,125.0,125.04,328.07,437.5,125.04
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,715.0,1034.68,125.0,126.37,250.0,437.54,126.37
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,632.0,609.36,125.0,140.58,343.71,437.5,140.58
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,650.0,5437.42,125.0,140.6,234.52,437.53,140.6
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,543.0,437.54,125.0,125.03,187.16,437.5,125.03
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,596.0,2406.16,125.0,140.58,172.23,437.55,140.58
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,700.0,17075.66,125.0,139.93,218.75,437.5,139.93
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,636.0,18876.61,125.0,125.11,187.47,437.51,125.11
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,607.0,440.56,125.0,134.67,312.54,437.5,134.67
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceMyTicketsSubStateCount,684.0,453.12,125.0,140.58,187.5,437.5,140.58
